price,room_type,ratings,guests,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings_summary
284.1,Entire home/apt,4.91,3.0,1.0,11.0,False,1.0,1.0,"a

high

concentration

of

cafes

and

dining

options

unlike

most

of

New

York

City

yet

steps

from

rapid

transit

right

by

Herald

Square"
323.33,Private room,4.74,1.0,1.0,43.0,False,2.0,1.0,"Dense commercial activity with exceptional concentrations of shops, cafes, and hotels contrasts with immediate access to major cultural and transit hubs. Steps from grocery and markets, and a short walk from the Empire State Building and Times Square."
690.98,Private room,4.0,8.0,2.0,1.0,False,2.0,2.0,"- Hotels, shops, and gyms are exceptionally dense compared to most blocks in New York City.  
- Right by the Empire State Building, with cultural venues steps away."
588.0,Entire home/apt,4.0,2.0,1.0,5.0,False,1.0,1.0,"Times Square borders this block, where shops rank among the most concentrated in the city and cafes and entertainment venues are exceptionally prevalent. Hotels are on the doorstep, with Bryant Park a couple minutes away and Rockefeller Center a short walk south."
290.0,Private room,4.14,2.0,1.0,7.0,False,1.0,1.0,"High concentration of hotels and shops contrasts with no nearby gyms or sports facilities. Cultural venues are a short walk away, and the area is a couple minutes from Madison Square Park."
1452.0,Private room,5.0,12.0,3.0,1.0,False,3.0,3.0,"Entertainment venues and hotels are among the most concentrated in New York City, with shops also highly prevalent compared to most blocks. Rockefeller Center is right by, and a short walk reaches Radio City Music Hall and Top of the Rock, while parks and open space are within walking distance."
1199.0,Entire home/apt,5.0,5.0,1.0,21.0,True,2.0,1.0,"a short walk from Madison Square Park, Empire State Building, Herald Square"
312.68,Entire home/apt,4.73,4.0,1.0,15.0,False,1.0,1.0,"Subway and transit access ranks in the top 0% of NYC blocks, with entertainment venues and gyms also in the top 2%. Steps from cultural venues and hotels, this location is a short walk from Times Square and Madison Square Garden."
595.92,Private room,4.46,8.0,1.0,56.0,False,1.0,1.0,"Gyms and sports facilities are exceptionally dense compared to most blocks in New York City, with shops and cafes similarly concentrated at levels seen in only the most commercially active areas. Madison Square Garden is a couple minutes away, and rapid transit is steps away."
475.05,Entire home/apt,3.0,5.0,1.0,1.0,False,1.0,1.0,"Entertainment venues and subway access rank among the top 1% of blocks citywide, with gyms and sports facilities in the top 2%. Hotels are on the doorstep, and parks and open space are steps away. About 10 minutes from Times Square, Madison Square Garden, and The High Line."
266.0,Private room,4.4,2.0,1.0,15.0,False,1.0,1.0,Cafes and museums are exceptionally dense compared to nearly all other blocks in New York City. The area is about 10 minutes from the New Museum and Manhattan Bridge.
164.73,Entire home/apt,4.87,2.0,1.0,23.0,True,2.0,1.0,"Cafes are exceptionally common compared to most blocks in the city, while grocery stores are also far more prevalent than in nearly all other neighborhoods. A short walk leads to the New Museum and the Manhattan Bridge, with frequent gallery presence and convenient access to rapid transit."
724.27,Entire home/apt,4.83,6.0,1.0,6.0,True,2.0,1.0,"Entertainment venues are exceptionally dense, exceeding nearly all blocks in New York City, with hotels and cafes also concentrated at among the highest levels citywide. The area is steps from cultural venues and directly adjacent to Times Square, a short walk from Rockefeller Center and Bryant Park."
325.0,Private room,4.46,2.0,1.0,61.0,False,1.0,1.0,"Museums and galleries cluster here at a density matched by only a handful of blocks across New York City, while cafes and grocery stores reach similarly rare concentrations. A short walk from the New Museum, the area is served by rapid transit and lies close to the Manhattan Bridge."
232.42,Private room,4.86,2.0,1.0,7.0,False,1.0,1.0,"A block with exceptional access to gyms and sports facilities, alongside dense commercial activity in shops and entertainment venues, contrasts sharply with quieter residential areas elsewhere in the city. Cultural venues and grocery markets are steps away, enhancing day-to-day convenience. About 10 minutes from Madison Square Garden, Madison Square Park, Flatiron Building, Herald Square, Empire State Building."
454.78,Entire home/apt,4.33,6.0,1.0,3.0,False,3.0,1.0,"entertainment venues and subway access rivaling few blocks citywide, with cultural venues steps away and major hotels on the doorstep  
about 10 minutes from: Times Square, Hudson Yards, Madison Square Garden, The High Line, The Vessel, Herald Square"
