neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,surroundings_summary
Centrum-Oost,Private room,55,2,520,5.57,2,267,41,"Nearby places include a museum called Kattenkabinet, a pub called BLEND XL, a nightclub called Club NYX, and a restaurant called Secret Garden."
Zuid,Entire home/apt,149,4,95,0.87,1,0,0,"The area includes a school and a garden, such as Montessori Lyceum Amsterdam."
Slotervaart,Private room,42,2,205,1.89,1,355,10,There is a playground nearby.
Zuid,Entire home/apt,99,7,54,0.71,1,0,1,"The area includes a garden and a park, such as Rosarium and Vondelpark."
Centrum-West,Entire home/apt,157,6,24,0.26,1,156,2,"The area includes a cafe and a yoga fitness centre, such as a Sense of Place - Hi-Fidelity Coffee and Svaha Yoga - Jordaan Shala."
De Pijp - Rivierenbuurt,Entire home/apt,250,21,29,0.23,2,47,2,"The area contains a garden, a vacant lot, and a park."
Centrum-West,Private room,265,2,12,0.45,1,343,2,"The area includes a pastry shop, jewelry store, Lebanese fast food, coffee shops, cafes, a tile store, and a hairdresser, such as Lanskroon, Amsterdam Vintage Watches, The Lebanese Sajeria, Dutch Flowers Coffee Shop, Eetcafe Singel 404, Story Tiles, and Kapsalon Jeroen Bruggeman."
De Pijp - Rivierenbuurt,Entire home/apt,145,18,92,0.81,1,90,2,"Nearby places include a cannabis shop, a bicycle rental, a breakfast cafe, a hotel, a garden, and a supermarket, such as Coffeeshop IBIZA, Paul & Ninette Bike Rental, Paul & Ninette Vinotheque, MAX Hotel, and Lidl."
Centrum-Oost,Entire home/apt,707,2,99,0.88,2,281,0,There is a playground and an artwork nearby.
De Pijp - Rivierenbuurt,Entire home/apt,200,3,27,0.26,1,363,0,"The area includes a supermarket, hairdresser, boxing fitness centre, language school, dentist, asian fast food, thai restaurant, pub, garden, childcare, and alcohol shop, with examples such as Albert Heijn, Hairstudio Pu-ma, Boksschool VBSK Albert Cuyp, Taalhuis Amsterdam, Dental 220, Warung Swietie Lelydorp, Thai Roof, Café De Baron, Badcuyp, Partou, and Gall & Gall."
Centrum-Oost,Private room,120,2,421,3.77,1,119,5,"Nearby places include a breakfast restaurant, a pizza restaurant, an irish pub, hotels, and a viewpoint, such as Blin Queen, Pizza Beppe, Mulligans, Amsterdam House Hotel, Hotel Amstelzicht, and Dancing Houses."
De Baarsjes - Oud-West,Entire home/apt,119,5,71,0.61,1,14,3,"The area includes a billiards pub and a hotel, such as Keu Poolcafe and Leonardo Hotel Amsterdam."
De Pijp - Rivierenbuurt,Entire home/apt,113,3,126,1.21,1,3,3,The nearby places include a place of worship called Arrahman and a french restaurant called Le Hollandais.
De Baarsjes - Oud-West,Private room,70,2,411,3.56,1,283,13,There is a picnic table and a garden.
Centrum-West,Entire home/apt,171,3,35,0.65,1,0,4,"Nearby places include attractions like Dam, clothes shops such as H&M and Louisa, jewelry stores like Swarovski and Tulashi, ice cream at Ice Bakery, cheese at Cheese & More, a Turkish bakery called Simit Sarayi, fast food restaurants including Burger King, McDonald's, FEBO, and Subway, perfumeries and cosmetics shops like ICI PARIS XL and KIKO, shoe stores such as Foot Locker, Nelson Schoenen, and Manfield, a bag shop called Pop Up Store Marcous Vintage, toys at Pop Mart, an American cafe named Dam Good Coffee, restaurants like De Drie Graefjes and De Pannenkoekerij, cannabis shops including Amsterdam Seed Center and Barraka, a tattoo parlor called Tattoo & Art, a pub named De Drie Monnikjes, hotels like Dam Square Inn, information and ticket services such as 360 Amsterdam and Amsterdam nightlife ticket, cafes including 't Nieuwe Kafé and Bon Dia, outdoor seating at De Nieuwe Pilserij, gift shops like Dal Migliore and De Drie Graefjes, and a photo shop called Museumfoto."
Centrum-Oost,Entire home/apt,299,3,60,0.66,1,165,0,"The area includes a smartshop, a community centre, a place of worship, a cannabis shop, and a gallery, such as Azarius, Wijkcentrum d'Oude Stadt, Keizersgrachtkerk, House of Smart, and Slewe Gallery."
Centrum-West,Entire home/apt,600,2,62,0.54,1,362,0,"The area includes a playground, a table tennis pitch, and a school, such as Theo Thijssenschool."
Oud-Noord,Entire home/apt,170,4,20,0.26,1,0,0,"The area includes a bakery, a bicycle shop, a pizza fast food restaurant, and a garden, such as Bike Laboratory, Domino's, and Isken."
Westerpark,Entire home/apt,250,26,1,0.01,3,299,0,"The area includes an artwork, such as Gevallen Engel."
De Pijp - Rivierenbuurt,Private room,65,1,464,5.18,1,154,31,"Nearby places include a shoe repair, a playground, a garden, and a soccer pitch, such as The Royal Treatment."
Centrum-Oost,Entire home/apt,120,14,84,0.84,1,33,2,There is a park nearby.
Centrum-West,Private room,125,2,445,4.02,2,349,24,"The area includes an attraction, a confectionery, cafes, a brothel, museums, bars, erotic shops, a pub, a stripclub, an adult gaming centre, a restaurant, a place of worship, a tattoo shop, and a clothes shop, such as Oude Kerk, Life is So Sweet, Cafe Pleinzicht, Bananenbar, Erotisch Museum, American Bar-bq, Erotic Shop, Excalibur, Casino City, Les Deux Frêres, The Tabernacle, Old Sailor, and Star Shop."
Westerpark,Private room,81,3,362,3.33,1,337,8,There is a garden and a playground.
Centrum-Oost,Entire home/apt,843,2,113,1.34,2,256,0,"The area includes a museum, such as Werf 't Kromhout."
Westerpark,Entire home/apt,250,3,64,0.64,1,99,3,"The area includes a playground, a boules pitch, and an artwork, such as Apentafel."
Centrum-Oost,Private room,118,3,414,3.88,2,219,5,The nearby attractions include Zuiderkerk and Zuiderkerkstoren.
De Baarsjes - Oud-West,Entire home/apt,110,3,2,0.04,1,0,0,"The nearby places include a place of worship, Gurdwara Maan Sarovar Sahib, and a college, NJMT - Nationaal Jeugd Musical Theater."
Centrum-West,Entire home/apt,399,2,52,0.48,1,103,4,"The area includes artwork, a park, a theatre, cafes, an attraction, outdoor seating, a hotel, a playground, and antiques, featuring Argus, Diep, Kabouter, Nova Hotel, Postzegelmarkt, Postzegelpark, Stadspaleis, Theater De Richel, and Vintage Clothes & Design."
Centrum-Oost,Private room,77,1,901,8.2,1,301,154,"The area includes a garden and a social facility, such as Sarphatihuis."
De Pijp - Rivierenbuurt,Entire home/apt,180,1,92,0.88,1,0,0,The nearby places include a garden and the school De Avonturijn.
Centrum-Oost,Private room,132,2,44,0.63,2,236,0,"The area includes a clinic and a garden, such as Medisch Centrum Wetering."
De Baarsjes - Oud-West,Entire home/apt,120,4,82,0.92,1,0,2,"The area includes a field hockey pitch, a table tennis pitch, a basketball pitch, two playgrounds, and a garden, including Balboaplein."
Centrum-West,Entire home/apt,210,4,60,0.57,1,78,2,"The area includes a gallery, a supermarket, a tobacco shop, a thai restaurant, and a marina, featuring places such as Marjan de Voogd Porcelain, Slagerij Rief, Staverno Nassaukade, Sonkran, and De Schans."
De Baarsjes - Oud-West,Entire home/apt,130,3,76,0.82,1,69,4,"The area includes a greengrocer, chemist, garden, playground, restaurant, and bar, with locations such as Marco's Groentespeciaalzaak, Etos, Tuin van Jan, Café Cook, and Proeflokaal Vesp."
Watergraafsmeer,Entire home/apt,140,3,43,0.54,1,130,0,There is a garden nearby.
IJburg - Zeeburgereiland,Entire home/apt,135,5,83,0.8,1,344,2,There is a playground nearby.
Osdorp,Private room,80,2,155,1.7,2,308,0,The area contains a basketball pitch and a playground.
Bijlmer-Centrum,Private room,46,1,408,4.16,1,329,17,The nearby place is a nursing home called De Venser.
Bos en Lommer,Entire home/apt,75,3,76,0.9,1,0,0,"The nearby place is a school, which is Multatulischool."
Oud-Oost,Entire home/apt,295,4,10,0.19,1,325,0,There is a garden nearby.
De Pijp - Rivierenbuurt,Entire home/apt,120,4,42,0.44,1,38,0,There is a garden nearby.
Zuid,Entire home/apt,399,2,30,0.3,1,72,0,The nearby places include clothes shops such as Suitsupply.
Centrum-Oost,Entire home/apt,250,2,38,0.61,1,0,0,"The area includes a zoo and a restaurant, specifically Artis and De Waterkant."
Bos en Lommer,Private room,108,3,316,3.21,1,220,2,"The area includes a chemist, an Indonesian fast food restaurant called Warung Kamal Afhaalcentrum, a French restaurant called Biladi, a Greek restaurant called Etos, a sandwich fast food restaurant called Rue de sevres, a garden, a hairdresser called Mimi Kapsalon, a kiosk called Martins avondwinkel, and a pet store called Wanica Exotics, with LA CHIC also present."
De Baarsjes - Oud-West,Entire home/apt,155,2,3,0.03,1,263,1,"Nearby places include doctors, dentist, opticians, and clothes shops, such as Gezondheidscentrum Borgerstraat, Tandartsengroep Borgerstraat, Pearle, Specsavers, and Norah."
Oud-Noord,Private room,59,4,97,1.05,1,123,0,"The area contains a garden, such as Moeshoek."
Oud-Oost,Private room,140,1,124,1.37,3,247,0,"The area contains a garden, a public bookcase, and a playground."
Centrum-Oost,Entire home/apt,135,3,56,0.7,1,105,2,"The area includes a viewpoint and a camera, such as Analogue."
Zuid,Entire home/apt,300,7,5,0.06,1,212,0,"The area includes a park, a tennis pitch, a tennis sports centre, a multi sports centre, and outdoor seating, with locations such as Park de Schinkeleilanden, Tenniseiland, and Witte Huis."
Noord-Oost,Private room,77,2,130,1.29,10,247,6,The area includes a guest house named Gypsy Waggon.
Westerpark,Entire home/apt,220,1,7,0.18,1,0,0,There is a garden nearby.
De Pijp - Rivierenbuurt,Entire home/apt,285,1,64,0.9,1,44,5,"The area includes a garden, a playground, a florist such as Jonkmans Bloemenhandel, a breakfast restaurant such as The Breakfast Club, a massage parlor such as Massage Ying Ying, and a bakery such as Anook Bakehouse."
De Baarsjes - Oud-West,Entire home/apt,150,2,75,0.82,1,148,5,There is a garden nearby.
Centrum-West,Entire home/apt,210,4,54,0.92,2,294,2,"The area includes a doctors office, a bakery, and a marketplace, with examples including A.N.M. van Grunsven & F.X.W.M. Hofman, Bunbun, and Noordermarkt."
Centrum-West,Entire home/apt,153,2,66,0.91,1,0,0,"Nearby places include hairdressers such as Hairtrends & Beauty, an art gallery, restaurants including Ashoka, Curry Express, La Bettola, and Made in Sud, a brothel, a convenience store, a hostel, a pub, a gift shop, hotels such as Budget Hotel Tourist Inn and Hotel Tourist INN, and bicycle rental services including Hotelbikes."
Oud-Oost,Entire home/apt,150,2,42,0.48,1,85,0,"The area features restaurants, outdoor seating, and a garden, including Bam Boa, Troef, and Weesper."
De Pijp - Rivierenbuurt,Private room,70,2,279,2.99,1,332,4,The area includes a garden and the school 6e Montessorischool Anne Frank.
Zuid,Private room,63,1,406,4.55,2,5,25,There is a garden nearby.
Zuid,Entire home/apt,475,4,65,0.87,1,18,2,"The area includes clothes shops such as Ba&sh and Canada Goose, hotels including Hotel Cornelisz and Hotel Museumzicht, an Indonesian restaurant named Sama Sebo, a pub called De Posthoorn, gift shops like The A'dam Giftshop, and a jewelry store named Schaap en Citroen."
Centrum-Oost,Entire home/apt,397,3,48,0.62,1,2,4,"Nearby places include an art gallery Atelier Hop, an apartment Studio AnnaMora, a fitness centre De Kleine Reus, a car repair Autobedrijf Wassenberg, a hotel Euphemia Budget Hotel, a pharmacy Alphega Apotheek, and a school."
De Pijp - Rivierenbuurt,Entire home/apt,220,3,62,0.67,1,188,0,The area contains a garden.
Noord-West,Private room,75,2,245,2.63,1,286,8,"The area includes a playground, such as NoordRijk."
Oud-Noord,Entire home/apt,180,3,95,1.02,1,53,4,There is an artwork nearby.
Centrum-West,Private room,50,2,226,2.55,1,314,13,There is a playground nearby.
Westerpark,Entire home/apt,122,4,52,0.55,1,2,2,"The area includes a garden, a bar such as De Nieuwe Anita, and a restaurant such as Robin Food Kollektief."
Oud-Oost,Entire home/apt,170,1,31,0.65,2,0,0,"The area includes a school, a restaurant, an information center, and a garden, such as Havo De Hof and Mi-Gudu."
Oud-Noord,Entire home/apt,557,2,4,2.35,2,32,4,"The area includes a garden and a marina, such as Sixhaven."
De Pijp - Rivierenbuurt,Entire home/apt,400,2,35,0.4,1,363,4,"The area features clothes shops like 7115 by Szeki and Tally-ho, jewelry and interior decoration stores such as Anna+Nina and All The Luck In The World, restaurants including Spaghetteria and Carletto, plus other businesses like Coffeeshop Club Media, Inkorporated, and iV Salon."
