neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,surroundings_summary
Centrum-Oost,Private room,55,2,520,5.57,2,267,41,"Museum: Kattenkabinet
Pub: Secret Garden
Nightclub: Club NYX
Restaurant: BLEND XL

The area reads as tourist-prominent. It is defined by the presence of the Kattenkabinet, a well-known cultural attraction that draws visitors to the area, alongside a concentrated nightlife and dining scene typical of high-traffic tourist districts in Amsterdam."
Zuid,Entire home/apt,149,4,95,0.87,1,0,0,"School: Montessori Lyceum Amsterdam
Garden: None

The area reads as everyday-residential. The specific draw is the Montessori Lyceum Amsterdam, which serves the local community rather than acting as a tourist landmark."
Slotervaart,Private room,42,2,205,1.89,1,355,10,"Place types: playground (1)

The area reads as everyday-residential, as there are no famous landmarks or attractions nearby."
Zuid,Entire home/apt,99,7,54,0.71,1,0,1,"Garden: Rosarium
Park: Vondelpark

The area reads as tourist-prominent. The specific draw is Vondelpark, which is a famous landmark and major attraction that draws large numbers of visitors."
Centrum-West,Entire home/apt,157,6,24,0.26,1,156,2,"Cafe: a Sense of Place - Hi-Fidelity Coffee
Yoga fitness_centre: Svaha Yoga - Jordaan Shala

The area reads as everyday-residential. The specific draws that make it so are the inclusion of a local yoga studio and a neighborhood coffee shop, which serve the daily routines of local residents rather than catering to tourists visiting famous landmarks."
De Pijp - Rivierenbuurt,Entire home/apt,250,21,29,0.23,2,47,2,"Place types: garden (1), vacant (1), park (1)

The area reads as everyday-residential, as there are no famous landmarks or major tourist attractions listed."
Centrum-West,Private room,265,2,12,0.45,1,343,2,"Pastry: Lanskroon
Jewelry: Amsterdam Vintage Watches
Lebanese fast_food: The Lebanese Sajeria
Coffee_shop cafe: Dutch Flowers Coffee Shop
Cafe: Eetcafe Singel 404, Amsterdam cheese company
Tiles: Story Tiles
Hairdresser: Kapsalon Jeroen Bruggeman

The area reads as tourist-prominent. The specific draws that make it so are Amsterdam Vintage Watches, Amsterdam cheese company, and Story Tiles, which are businesses typically catering to visitors looking for souvenirs and high-end specialty goods in a central, historic location."
De Pijp - Rivierenbuurt,Entire home/apt,145,18,92,0.81,1,90,2,"Cannabis: Coffeeshop IBIZA
Bicycle_rental: Paul & Ninette Bike Rental
Breakfast cafe: Paul & Ninette Vinotheque
Hotel: MAX Hotel
Garden: None
Supermarket: Lidl

The area reads as tourist-prominent. The specific draws that make it so are the presence of a hotel, a bicycle rental service, and a coffeeshop, which are services primarily targeted at visitors rather than local residents."
Centrum-Oost,Entire home/apt,707,2,99,0.88,2,281,0,"The area contains no places from the provided list. Therefore, it cannot be categorized as either tourist-prominent or everyday-residential based on the given data."
De Pijp - Rivierenbuurt,Entire home/apt,200,3,27,0.26,1,363,0,"restaurant: Warung Swietie Lelydorp
hairdresser: Hairstudio Pu-ma
boxing fitness_centre: Boksschool VBSK Albert Cuyp
vacant: Badcuyp
language_school: Taalhuis Amsterdam
dentist: Dental 220
asian fast_food: Thai Roof
thai restaurant: Thai Roof
pub: Café De Baron
garden: Albert Heijn
childcare: Partou
supermarket: Albert Heijn
alcohol: Gall & Gall

The area reads as everyday-residential. The specific draws that make it so are the presence of essential local services including a supermarket (Albert Heijn), a dentist (Dental 220), childcare (Partou), and a hair salon (Hairstudio Pu-ma), which cater to the daily needs of local residents rather than transient visitors."
