price,room_type,ratings,guests,beds,bedrooms,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,num_rooms,surroundings_summary
256.77,Private room,4.5,2.0,1.0,1.0,1.0,2.0,True,1.0,1.0,2.0,"This block is in a vibrant area with an abundance of cafes, grocery stores, and gyms, far exceeding what you would typically find in most parts of the city. It's also conveniently located about 10 minutes from Central Park and the New Museum, adding to its appeal."
201.42,Entire home/apt,4.95,2.0,1.0,1.0,1.0,87.0,False,1.0,1.0,2.0,"This block is in a vibrant area with an abundance of bars, dining options, and entertainment venues, far exceeding what most neighborhoods offer. It's a short walk from Washington Square Park and just about 10 minutes from iconic spots like Times Square, Central Park, and the Empire State Building, making it a lively hub for both locals and visitors."
265.5,Entire home/apt,5.0,3.0,2.0,1.0,1.0,2.0,False,1.0,1.0,2.0,"This block is in a vibrant area with a wealth of attractions and hotels, far exceeding what most blocks offer. You'll find a good number of cafes as well, making it a lively spot to enjoy the local scene. It's conveniently located just a short walk from iconic landmarks like the Chrysler Building and Grand Central Terminal, and within about 10 minutes of major destinations such as Summit One Vanderbilt, One Vanderbilt, Battery Park, Central Park, and the Empire State Building."
70.07,Private room,4.55,2.0,2.0,1.0,1.0,174.0,False,1.0,1.0,2.0,"This block is vibrant and lively, with a strong presence of bars and nightlife, making it a great spot for social activities. You'll also find a good number of cafes nearby, adding to the area's appeal. However, it has unusually few parks and green spaces, which may make it feel a bit limited in outdoor options. It's conveniently located about 10 minutes from the American Museum of Natural History and Prospect Park, offering cultural and recreational opportunities close by."
198.29,Entire home/apt,4.86,2.0,1.0,1.0,1.0,248.0,False,1.0,1.0,2.0,"This block is located in an area that offers somewhat more attractions, gyms, and hotels than most parts of the city, making it a decent choice for those looking for some activity and amenities. However, the absence of well-known landmarks nearby suggests a quieter environment, lacking in the vibrant buzz that often accompanies popular destinations."
178.78,Entire home/apt,4.0,5.0,3.0,2.0,1.0,6.0,False,2.0,1.0,3.0,"This block is in a vibrant area with more attractions, dining options, and hotels than most neighborhoods in the city. It's just a couple of minutes from The High Line, adding to the appeal of the location."
2392.67,Entire home/apt,5.0,2.0,2.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"This block is in a vibrant area with an abundance of parks and green space, making it a great spot for outdoor activities. While it has fewer pharmacies than most, it is still close to attractions and cultural sites, including the Whitney Museum of American Art and The High Line, which are just a short walk away."
677.86,Entire home/apt,4.92,6.0,4.0,2.0,1.0,146.0,True,2.0,1.0,3.0,"This block is situated in a well-equipped area with a notably high number of pharmacies, grocery stores, and parks, making it quite convenient for daily needs and outdoor activities. It's also just about a 10-minute walk from Washington Square Park, adding to the appeal of the neighborhood."
291.57,Entire home/apt,5.0,4.0,2.0,1.0,1.5,6.0,False,1.0,1.5,2.5,"This block is somewhat lively, with a good number of bars and nightlife options, but it lacks hotel accommodations, making it quieter in that regard. There are also a decent amount of cafes, though the absence of nearby landmarks means the area may feel less vibrant overall."
1524.7,Entire home/apt,4.92,4.0,4.0,3.0,2.5,12.0,False,3.0,2.5,5.5,"This block is somewhat quiet and limited, with fewer hotels and transit options than most areas in the city, making it less vibrant for visitors and commuters. However, there are a good number of cafes nearby, providing some local spots to grab a drink or a bite. Overall, it's a more subdued area without notable landmarks within walking distance."
166.3,Entire home/apt,5.0,4.0,2.0,2.0,2.0,1.0,True,2.0,2.0,4.0,"This block offers a somewhat more abundant selection of pharmacies compared to most areas in New York, but it is relatively quiet when it comes to bars, nightlife, and cafes, making it a more subdued environment. There are no notable landmarks within walking distance, reinforcing the tranquil atmosphere of the area."
606.55,Entire home/apt,4.94,6.0,4.0,4.0,2.5,18.0,False,4.0,2.5,6.5,"This block is quite quiet and limited, with no hotels or transit options nearby, which is unusual for New York City. Additionally, it has fewer attractions compared to most areas, making it a more subdued location, though it is just a short walk from Prospect Park and about 10 minutes from Grand Army Plaza."
250.83,Entire home/apt,5.0,6.0,3.0,3.0,1.0,6.0,False,3.0,1.0,4.0,"This block is relatively quiet and limited in amenities, with unusually few parks and green spaces, museums and galleries, as well as gyms and sports facilities compared to most areas in New York City. However, it is conveniently located about 10 minutes from the Brooklyn Botanic Garden, offering a nearby option for green space."
180.75,Entire home/apt,4.94,6.0,3.0,3.0,2.0,65.0,False,3.0,2.0,5.0,"This block is quite quiet and limited, with no attractions or subway and transit options nearby, which is uncommon for New York City. Additionally, it has very few entertainment venues, placing it among the lowest in the city for that category, and there are no notable landmarks within walking distance."
176.88,Entire home/apt,5.0,4.0,2.0,2.0,2.0,41.0,True,2.0,2.0,4.0,"This block is quite quiet and limited in amenities, with no hotels or museums and galleries nearby, which is unusual for New York. Additionally, it has very few entertainment venues, making it one of the least vibrant areas in the city, and there are no well-known landmarks within walking distance."
153.63,Entire home/apt,4.97,4.0,2.0,1.0,1.0,137.0,False,1.0,1.0,2.0,"This block is quite quiet and limited, with unusually few grocery stores and bars or nightlife options compared to most of New York City. While it lacks nearby pharmacies and has a sparse selection of amenities, it's about a 10-minute walk to Prospect Park, providing a nice natural escape."
536.0,Entire home/apt,4.72,5.0,2.0,2.0,1.0,145.0,False,2.0,1.0,3.0,"This block is quite quiet and limited, with unusually few cafes, entertainment venues, and museums or galleries nearby, making it less vibrant compared to most areas in New York. There are no well-known landmarks within walking distance, which further adds to the subdued atmosphere of the neighborhood."
69.62,Private room,4.89,3.0,1.0,1.0,1.0,91.0,True,1.0,1.0,2.0,"This block is quite quiet and limited, as it has unusually few attractions, bars, nightlife, and hotels nearby. There are no well-known places or landmarks within walking distance, making it a more subdued area compared to most blocks in the city."
61.66,Private room,2.0,1.0,1.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"This block is quite limited in amenities, with no bars, cafes, or dining options nearby, which is unusual for New York City. Additionally, there are no notable landmarks within walking distance, contributing to a quieter and less vibrant atmosphere."
