neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,surroundings_summary
Centrum-Oost,Private room,55,2,520,5.57,2,267,41,"Nearby are the museum Kattenkabinet, the nightclub Club NYX, the restaurant Secret Garden, and the pub BLEND XL. This collection of venues implies a higher than average rental price level. The presence of a specialized cultural institution like Kattenkabinet and a popular nightlife destination like Club NYX suggests a central, high-traffic urban location where demand for property is significant, driving up the cost of living."
Zuid,Entire home/apt,149,4,95,0.87,1,0,0,"The Montessori Lyceum Amsterdam is located nearby. This implies a higher than average rental price level, as proximity to a well-regarded educational institution like Montessori Lyceum Amsterdam typically increases demand for family-oriented housing, thereby driving up local property values and rental costs."
Slotervaart,Private room,42,2,205,1.89,1,355,10,"There are no named places provided in the list to describe. Consequently, it is impossible to determine the rental price level or provide any analysis based on specific locations."
Zuid,Entire home/apt,99,7,54,0.71,1,0,1,"The area is located near Rosarium and Vondelpark. This implies a higher than average rental price level because these are prestigious, well-maintained green spaces that are highly desirable, particularly given that Vondelpark is a world-renowned landmark that significantly increases property value and demand in its surrounding neighborhoods."
Centrum-West,Entire home/apt,157,6,24,0.26,1,156,2,"Nearby are Svaha Yoga - Jordaan Shala and a Sense of Place - Hi-Fidelity Coffee. This implies a higher than average rental price level because these establishments are characteristic of trendy, upscale urban neighborhoods that cater to a lifestyle-focused demographic willing to pay a premium for boutique fitness and specialty coffee experiences."
De Pijp - Rivierenbuurt,Entire home/apt,250,21,29,0.23,2,47,2,"There are no named places provided in the list to describe. Consequently, it is impossible to determine the rental price level based on specific landmarks, as no information regarding the area's amenities or infrastructure has been supplied."
Centrum-West,Private room,265,2,12,0.45,1,343,2,"Nearby places include Amsterdam Vintage Watches, Amsterdam cheese company, Dutch Flowers Coffee Shop, Eetcafe Singel 404, Kapsalon Jeroen Bruggeman, Lanskroon, Story Tiles, and The Lebanese Sajeria. This area likely has a higher than average rental price level. The presence of specialized luxury retail such as Amsterdam Vintage Watches and Story Tiles, combined with popular, well-known dining and cafe spots like Lanskroon and Eetcafe Singel 404, indicates a high-traffic, premium location in a central or tourist-heavy part of the city."
De Pijp - Rivierenbuurt,Entire home/apt,145,18,92,0.81,1,90,2,"Nearby, there is a Coffeeshop IBIZA, a Lidl, a MAX Hotel, a Paul & Ninette Bike Rental, and a Paul & Ninette Vinotheque. This mix of establishments implies that the rental price level is likely average or slightly lower. The presence of a Lidl suggests a focus on budget-friendly, everyday shopping, while the concentration of tourist-oriented services like Paul & Ninette Bike Rental, Paul & Ninette Vinotheque, and MAX Hotel indicates a high-traffic area that caters to visitors rather than exclusive, high-end residential luxury."
Centrum-Oost,Entire home/apt,707,2,99,0.88,2,281,0,"There are no places listed, so it is impossible to describe nearby surroundings or determine the rental price level based on specific named locations."
De Pijp - Rivierenbuurt,Entire home/apt,200,3,27,0.26,1,363,0,"The area features a diverse mix of amenities including the supermarket Albert Heijn, the pub Café De Baron, and the alcohol retailer Gall & Gall. Residents have access to services such as the hairdresser Hairstudio Pu-ma, the dentist Dental 220, the language school Taalhuis Amsterdam, the childcare center Partou, and the boxing fitness centre Boksschool VBSK Albert Cuyp. Dining options include the restaurant Warung Swietie Lelydorp, the Thai restaurant Thai Roof, and the cultural venue Badcuyp. This concentration of specialized services, reputable childcare, and popular local establishments implies a higher than average rental price level. The presence of a dedicated language school, a professional dental clinic, and a well-known supermarket like Albert Heijn suggests a desirable, well-serviced urban neighborhood that attracts professionals and families willing to pay a premium for convenience and lifestyle amenities."
Centrum-Oost,Private room,120,2,421,3.77,1,119,5,"Nearby, there is a breakfast restaurant called Blin Queen, a pizza restaurant called Pizza Beppe, and an irish pub called Mulligans. Additionally, the area features two hotels, Amsterdam House Hotel and Hotel Amstelzicht, as well as a viewpoint known as Dancing Houses. This collection of establishments implies a rental price level higher than average. The presence of multiple hotels and a popular viewpoint suggests a prime, tourist-heavy location in a central urban area, which typically commands premium real estate and rental costs due to high foot traffic and proximity to major attractions."
De Baarsjes - Oud-West,Entire home/apt,119,5,71,0.61,1,14,3,"Nearby are Keu Poolcafe and Leonardo Hotel Amsterdam. This implies a higher than average rental price level for the area, as the presence of a well-known establishment like Leonardo Hotel Amsterdam typically indicates a prime, tourist-friendly location with high demand, often driving up property values and rental costs in the immediate vicinity."
De Pijp - Rivierenbuurt,Entire home/apt,113,3,126,1.21,1,3,3,"Nearby are Arrahman and Le Hollandais. This implies a higher than average rental price level because the presence of a specialized French restaurant like Le Hollandais often signals an upscale, gentrified, or trendy neighborhood that attracts higher-income residents and drives up housing demand."
De Baarsjes - Oud-West,Private room,70,2,411,3.56,1,283,13,"There are no named places provided in the list to describe. Consequently, it is impossible to determine the rental price level based on specific landmarks."
Centrum-West,Entire home/apt,171,3,35,0.65,1,0,4,"The area is located in the immediate vicinity of Dam and Dam Square Inn, placing it in the heart of a major tourist hub. The presence of high-traffic international chains like H&M, Burger King, McDonald's, Subway, and FEBO, alongside tourist-focused spots like Amsterdam nightlife ticket, Museumfoto, and Ice Bakery, indicates a high-density commercial zone. The rental price level in this area is higher than average. This is implied by the prime central location near Dam, which commands premium commercial rents, and the concentration of established retail brands like Swarovski, ICI PARIS XL, and KIKO, which typically occupy high-value real estate to capture the constant flow of tourists and shoppers."
Centrum-Oost,Entire home/apt,299,3,60,0.66,1,165,0,"The area features Azarius, House of Smart, Keizersgrachtkerk, Slewe Gallery, and Wijkcentrum d'Oude Stadt. This collection of locations implies a higher than average rental price level. The presence of Slewe Gallery suggests a sophisticated, upscale cultural environment, while the location near Keizersgrachtkerk places the area within the historic and prestigious canal district of Amsterdam, which is known for its high property values and premium residential costs."
Centrum-West,Entire home/apt,600,2,62,0.54,1,362,0,"Nearby is the Theo Thijssenschool, which includes a playground and a table_tennis pitch. This implies a higher than average rental price level because the presence of a school and dedicated recreational facilities like a playground and table_tennis pitch makes the area highly desirable for families, increasing demand for housing in the immediate vicinity."
Oud-Noord,Entire home/apt,170,4,20,0.26,1,0,0,"The area features Bike Laboratory, Domino's, and Isken. The presence of these establishments suggests a rental price level that is likely average or slightly lower than average. While Bike Laboratory indicates a focus on active transportation and potentially a younger or student-oriented demographic, the inclusion of national fast-food chains like Domino's and the specific local eatery Isken points toward a neighborhood that prioritizes convenience and affordability over high-end luxury amenities."
Westerpark,Entire home/apt,250,26,1,0.01,3,299,0,"The area is located near Gevallen Engel. This implies a higher than average rental price level because the presence of public artwork often indicates a gentrified or culturally significant neighborhood that attracts professionals and tourists, thereby increasing demand for housing."
De Pijp - Rivierenbuurt,Private room,65,1,464,5.18,1,154,31,Nearby is The Royal Treatment. This implies that the rental price level is likely higher than average because the presence of a specialized service provider suggests a neighborhood with a demographic that values convenience and premium maintenance for high-end footwear.
Centrum-Oost,Entire home/apt,120,14,84,0.84,1,33,2,"There are no nearby places listed to describe. Consequently, it is impossible to determine the rental price level or provide any analysis based on the provided information."
Centrum-West,Private room,125,2,445,4.02,2,349,24,"The area is surrounded by a dense concentration of nightlife and adult-oriented venues, including Bananenbar, Casa Rosso, Erotisch Museum, Red Light Secrets, Excalibur, New Castle Bar, Old Sailor, and de Wallen. Other nearby establishments include American Bar-bq, Anco, Brutus Bros, Cafe Pleinzicht, Casino City, Erotic Shop, Koffieschenkerij, Les Deux Frêres, Life is So Sweet, Star Shop, The Tabernacle, and Oude Kerk. This area likely has a lower than average rental price level for residential living. The high density of nightlife, adult entertainment venues like Casa Rosso and Bananenbar, and the high foot traffic associated with de Wallen generally create a noisy, tourist-heavy environment that is often less desirable for permanent residents, thereby keeping residential rental prices lower compared to quieter, more traditional residential neighborhoods."
Westerpark,Private room,81,3,362,3.33,1,337,8,"There are no named places provided in the list to describe. Consequently, it is impossible to determine the rental price level based on specific landmarks, as no information regarding the area's amenities or infrastructure is available."
Centrum-Oost,Entire home/apt,843,2,113,1.34,2,256,0,"The area is located in the immediate vicinity of Werf 't Kromhout. This location implies a higher than average rental price level because the presence of a well-known historical maritime museum suggests a desirable, culturally significant, and well-preserved neighborhood that attracts both tourists and affluent residents."
Westerpark,Entire home/apt,250,3,64,0.64,1,99,3,"Nearby is Apentafel, which features a playground, a boules pitch, and artwork. The presence of these recreational and cultural amenities suggests a rental price level that is higher than average, as such well-maintained public spaces and artistic installations are typically found in desirable, planned, or gentrified neighborhoods that command a premium."
Centrum-Oost,Private room,118,3,414,3.88,2,219,5,"The area is located in the immediate vicinity of the Zuiderkerk and the Zuiderkerkstoren. These landmarks are situated in the historic center of Amsterdam, which implies a higher than average rental price level. The presence of such prominent, iconic historical monuments indicates a prime, central location that is highly sought after by residents and tourists alike, driving up demand and property values in the surrounding neighborhood."
De Baarsjes - Oud-West,Entire home/apt,110,3,2,0.04,1,0,0,"The area is located near Gurdwara Maan Sarovar Sahib and NJMT - Nationaal Jeugd Musical Theater. This combination of a cultural institution and a place of worship suggests a rental price level that is likely average or slightly higher than average. The presence of a dedicated theater like NJMT - Nationaal Jeugd Musical Theater often indicates a well-developed neighborhood with access to cultural amenities, which typically attracts residents and supports stable or elevated property values compared to areas lacking such community infrastructure."
Centrum-West,Entire home/apt,399,2,52,0.48,1,103,4,"The area is surrounded by cultural and leisure destinations including Postzegelpark, Theater De Richel, and the attraction Stadspaleis. Nearby dining and shopping options such as Argus, Diep, Vintage Clothes & Design, and the Postzegelmarkt suggest a vibrant, central urban environment. The presence of the Nova Hotel and the playground Kabouter further indicates a high-traffic, well-maintained district. This combination of historic landmarks, specialized retail, and hospitality suggests that the rental price level is higher than average, as these amenities are typically located in prime, desirable city center locations that command a premium for both residents and businesses."
Centrum-Oost,Private room,77,1,901,8.2,1,301,154,"Nearby is Sarphatihuis, which is a social facility. This implies a higher than average rental price level because the area is located in a central, historic part of Amsterdam where proximity to established landmarks and well-maintained community institutions typically commands a premium."
De Pijp - Rivierenbuurt,Entire home/apt,180,1,92,0.88,1,0,0,"The area features De Avonturijn, which is a school. The presence of a school typically implies a higher than average rental price level, as properties located near educational institutions are often in high demand by families seeking convenience and proximity to local resources."
Centrum-Oost,Private room,132,2,44,0.63,2,236,0,"Nearby is Medisch Centrum Wetering. This implies that the rental price level is likely higher than average because the presence of specialized healthcare facilities often indicates a well-developed, central, or desirable urban neighborhood with good infrastructure and high demand."
De Baarsjes - Oud-West,Entire home/apt,120,4,82,0.92,1,0,2,"The area features Balboaplein, which contains a field_hockey pitch, a table_tennis pitch, a basketball pitch, two playgrounds, and a garden. This concentration of recreational facilities and green space suggests a higher than average rental price level, as such well-maintained public amenities at Balboaplein are highly desirable for families and active residents, typically increasing the property value of the surrounding neighborhood."
Centrum-West,Entire home/apt,210,4,60,0.57,1,78,2,"Nearby are the gallery Marjan de Voogd Porcelain, the supermarket Slagerij Rief, the tobacco shop De Schans, the Thai restaurant Sonkran, and the marina Staverno Nassaukade. This area likely has a higher than average rental price level. The presence of a specialized gallery like Marjan de Voogd Porcelain and a marina like Staverno Nassaukade suggests an upscale, waterfront location that often commands premium property values compared to more standard residential neighborhoods."
De Baarsjes - Oud-West,Entire home/apt,130,3,76,0.82,1,69,4,"Nearby there is Marco's Groentespeciaalzaak, Etos, Tuin van Jan, Café Cook, and Proeflokaal Vesp. This area likely has a higher than average rental price level. The presence of specialized shops like Marco's Groentespeciaalzaak and popular social venues such as Café Cook and Proeflokaal Vesp, combined with the proximity to a well-known urban green space like Tuin van Jan, suggests a trendy, gentrified neighborhood that is highly desirable for residents."
Watergraafsmeer,Entire home/apt,140,3,43,0.54,1,130,0,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the requested criteria."
IJburg - Zeeburgereiland,Entire home/apt,135,5,83,0.8,1,344,2,"There are no named places provided in the list to describe, therefore it is impossible to determine the rental price level or provide any context regarding the area."
Osdorp,Private room,80,2,155,1.7,2,308,0,"There are no named places provided in the list to describe, therefore it is impossible to determine the rental price level or provide any context regarding the area."
Bijlmer-Centrum,Private room,46,1,408,4.16,1,329,17,"Nearby is De Venser. This implies a higher than average rental price level because the presence of a nursing home often indicates a well-established, quiet, and stable neighborhood with accessible healthcare infrastructure, which typically attracts long-term residents and supports property values."
Bos en Lommer,Entire home/apt,75,3,76,0.9,1,0,0,"Nearby is Multatulischool. This implies that the rental price level is likely higher than average because proximity to a school is a highly desirable feature for families, which increases housing demand and property values in the immediate area."
Oud-Oost,Entire home/apt,295,4,10,0.19,1,325,0,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the available information."
De Pijp - Rivierenbuurt,Entire home/apt,120,4,42,0.44,1,38,0,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the requested criteria."
Zuid,Entire home/apt,399,2,30,0.3,1,72,0,"The area is located near Suitsupply. This implies a higher than average rental price level because Suitsupply is a premium retailer that typically occupies high-end commercial spaces in affluent districts, suggesting the surrounding neighborhood caters to a wealthier demographic with significant disposable income."
Centrum-Oost,Entire home/apt,250,2,38,0.61,1,0,0,"Nearby are Artis and De Waterkant. This implies a higher than average rental price level. The presence of Artis, a major cultural and tourist attraction, typically increases property demand and desirability, while De Waterkant is a well-known, upscale neighborhood, further indicating a premium location that commands higher rents."
Bos en Lommer,Private room,108,3,316,3.21,1,220,2,"The area features a diverse mix of local amenities including the chemist Etos, the hairdresser Mimi Kapsalon, and the convenience store Martins avondwinkel. Dining options are varied, ranging from the French restaurant Rue de sevres to the Indonesian fast food spot Warung Kamal Afhaalcentrum, the Greek restaurant Biladi, and the sandwich fast food location Wanica Exotics. Additionally, the neighborhood includes the pet shop LA CHIC and a local garden. This combination of specialized international dining and convenient daily services suggests a rental price level that is higher than average, as the presence of a dedicated French restaurant and a variety of niche fast food options often indicates a gentrified or highly desirable urban location with strong foot traffic and a lifestyle-oriented demographic."
De Baarsjes - Oud-West,Entire home/apt,155,2,3,0.03,1,263,1,"Nearby are Gezondheidscentrum Borgerstraat, Tandartsengroep Borgerstraat, Pearle, Specsavers, and Norah. This area likely has an average rental price level. The presence of essential healthcare services like Gezondheidscentrum Borgerstraat and Tandartsengroep Borgerstraat suggests a functional, residential neighborhood, while the combination of accessible retail brands like Pearle, Specsavers, and Norah indicates a standard commercial street that caters to a broad demographic rather than an exclusive or luxury market."
Oud-Noord,Private room,59,4,97,1.05,1,123,0,"The area is located near Moeshoek. Given that this is a garden, the rental price level is likely higher than average because access to green spaces and well-maintained outdoor environments is a premium amenity that typically increases property value and demand in residential neighborhoods."
Oud-Oost,Private room,140,1,124,1.37,3,247,0,"There are no named places provided in the list to reference. Consequently, it is impossible to determine the rental price level based on specific locations."
Centrum-Oost,Entire home/apt,135,3,56,0.7,1,105,2,"The area features Analogue, which is a specialized retail establishment. The presence of a niche store like Analogue suggests that the rental price level is higher than average, as such businesses typically locate in trendy or upscale districts with high foot traffic and affluent demographics to sustain their specialized operations."
Zuid,Entire home/apt,300,7,5,0.06,1,212,0,"Nearby are Park de Schinkeleilanden, Tenniseiland, and Witte Huis. This area likely commands a higher than average rental price level. The presence of Park de Schinkeleilanden suggests access to desirable green space and recreational amenities, while the inclusion of Tenniseiland indicates a focus on specialized sports facilities, both of which are premium features that typically increase property value and rental demand in urban settings."
Noord-Oost,Private room,77,2,130,1.29,10,247,6,"The area features a Gypsy Waggon. This implies a lower than average rental price level, as the presence of a guest house categorized as a Gypsy Waggon suggests a niche, rustic, or unconventional accommodation type rather than a traditional residential development."
Westerpark,Entire home/apt,220,1,7,0.18,1,0,0,"There are no named places provided in the list to describe the area. Consequently, it is impossible to determine the rental price level or provide any context regarding the neighborhood."
De Pijp - Rivierenbuurt,Entire home/apt,285,1,64,0.9,1,44,5,"Nearby amenities include Anook Bakehouse, Jonkmans Bloemenhandel, Massage Ying Ying, and The Breakfast Club. The presence of these specific establishments implies a higher than average rental price level. The inclusion of specialized businesses like The Breakfast Club and Anook Bakehouse suggests a trendy, gentrified neighborhood that attracts a demographic willing to pay a premium for artisanal food and lifestyle services, which typically correlates with increased housing costs in the surrounding area."
De Baarsjes - Oud-West,Entire home/apt,150,2,75,0.82,1,148,5,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the requested criteria."
Centrum-West,Entire home/apt,210,4,54,0.92,2,294,2,"Nearby are the doctors office A.N.M. van Grunsven & F.X.W.M. Hofman, the bakery Bunbun, and the marketplace Noordermarkt. This area likely has a higher than average rental price level. The presence of a specialized bakery like Bunbun and the historic, high-traffic Noordermarkt suggests a trendy, desirable urban neighborhood that typically commands premium rents."
Centrum-West,Entire home/apt,153,2,66,0.91,1,0,0,"The area features a variety of dining options including Ashoka, Curry Express, De Buurman, La Bettola, and Made in Sud, alongside services like Hairtrends & Beauty and Boudewijn Veltman. There are also retail and leisure spots such as Gays & Gadgets, De Denneboom, and The Palace, supported by transit amenities like Hotelbikes. The presence of Budget Hotel Tourist Inn and Hotel Tourist INN, combined with the mix of casual dining and specialized retail, implies a rental price level that is lower than average. These establishments cater primarily to tourists and transient visitors rather than long-term residents, suggesting an area characterized by high foot traffic and budget-oriented commercial activity rather than premium residential demand."
Oud-Oost,Entire home/apt,150,2,42,0.48,1,85,0,"The area features Bam Boa, Troef, and Weesper. These establishments suggest a higher than average rental price level. The presence of Bam Boa and Troef, both of which are known for their curated atmospheres and popular dining experiences, indicates a trendy, upscale neighborhood that attracts a demographic willing to pay a premium for lifestyle and leisure amenities."
De Pijp - Rivierenbuurt,Private room,70,2,279,2.99,1,332,4,"The area features 6e Montessorischool Anne Frank. The presence of a highly-regarded educational institution like 6e Montessorischool Anne Frank typically implies a higher than average rental price level, as proximity to established schools is a premium amenity that attracts families and increases housing demand."
Zuid,Private room,63,1,406,4.55,2,5,25,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the available information."
Zuid,Entire home/apt,475,4,65,0.87,1,18,2,"The area is surrounded by high-end retail establishments including Ba&sh, Canada Goose, Cavallaro Napoli, Elisabetta Franchi, G-Star Raw, Profuomo, Stone Island, and Woolrich, alongside luxury jewelry retailer Schaap en Citroen. Hospitality options include Hotel Cornelisz, Hotel Museumzicht, Sama Sebo, De Posthoorn, and The A'dam Giftshop. This concentration of premium fashion brands and upscale hotels implies that the rental price level is significantly higher than average. The presence of luxury retailers like Canada Goose, Stone Island, and Schaap en Citroen indicates a prestigious, high-traffic commercial district that typically commands top-tier real estate premiums."
Centrum-Oost,Entire home/apt,397,3,48,0.62,1,2,4,"The area features a mix of amenities including Alphega Apotheek, Atelier Hop, Autobedrijf Wassenberg, De Kleine Reus, Euphemia Budget Hotel, and Studio AnnaMora. The presence of Euphemia Budget Hotel suggests that the area caters to cost-conscious travelers, while the proximity of Atelier Hop and Studio AnnaMora indicates a creative or cultural hub. The rental price level is likely lower than average because the inclusion of a budget-oriented hotel and a car repair shop like Autobedrijf Wassenberg typically points to a neighborhood that prioritizes functional, accessible services over high-end luxury or exclusive residential developments."
De Pijp - Rivierenbuurt,Entire home/apt,220,3,62,0.67,1,188,0,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the available information."
Noord-West,Private room,75,2,245,2.63,1,286,8,"Nearby is NoordRijk. This implies a lower than average rental price level because the presence of only a single playground suggests a developing or residential neighborhood that lacks the high density of commercial amenities, transit hubs, or luxury services typically found in more expensive urban centers."
Oud-Noord,Entire home/apt,180,3,95,1.02,1,53,4,"There are no places listed to describe, so it is impossible to determine the rental price level based on the provided information."
Centrum-West,Private room,50,2,226,2.55,1,314,13,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the available information."
Westerpark,Entire home/apt,122,4,52,0.55,1,2,2,"Nearby are De Nieuwe Anita and Robin Food Kollektief. This suggests a rental price level that is lower than average. The presence of a community-focused establishment like Robin Food Kollektief and an alternative, grassroots venue like De Nieuwe Anita indicates an area that prioritizes affordability, social cohesion, and a non-commercialized atmosphere over luxury or high-end development."
Oud-Oost,Entire home/apt,170,1,31,0.65,2,0,0,"Nearby places include Havo De Hof, Mi-Gudu, and an information center. This area likely has a lower than average rental price level because the presence of a school like Havo De Hof and a local establishment like Mi-Gudu suggests a residential, community-focused neighborhood rather than a high-end commercial or luxury district."
