index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_summary
2576,,Centrum-West,52.3747,4.89748,Private room,90,2,135,2.85,2,1,0,holland,"This area features a mix of dining and nightlife options including Burger Fabriek, Caffe Italia, Crepes & Wafles, De Bakkerswinkel, Dolce & Gelato, High Snack, Jemi, Restaurant 40, Saul's, Slainte, Stone's Cafe, Stones Cafe, and Wok to Walk, alongside bars like Cafe The Tribe, Dirty Dick's, Eagle, Kings Cross, PROUD, RoB, and Route 66 Club Lounge. Notable landmarks include Oude Kerk, a historic church serving as a cultural center, and de Wallen, the city's well-known historic district, complemented by the Prostitutie Informatie Centrum, which provides insight into the area's unique social history."
78,,Centrum-West,52.3739,4.89263,Entire home/apt,171,3,35,0.65,1,0,4,holland,"The area features a variety of dining options including De Drie Graefjes, De Pannenkoekerij, Simit Sarayi, FEBO, McDonald's, Burger King, Subway, and Ice Bakery, alongside retail shops like H&M, Foot Locker, Nelson Schoenen, Manfield, Swarovski, KIKO, ICI PARIS XL, Pink Gellac, Pop Mart, and Cheese & More. Dam is a central landmark that serves as the historic heart of the city, while Amsterdam nightlife ticket and Amsterdam Seed Center provide specialized services for visitors."
2210,,De Pijp - Rivierenbuurt,52.35545,4.8918,Entire home/apt,124,2,30,0.78,1,30,0,holland,"The area features a variety of dining options including Broodje Gerard, C'est Chau, Carletto, Pho 91, The Butcher, and Vishandel Molenaar, alongside specialty shops like De Franse Slager Alain Bernard and Slagerij Zuid. Retail and lifestyle destinations include 7115 by Szeki, Aiche, All The Luck In The World, American Nails, Amsterdamse Matrassencentrale, Anna+Nina, Brick Lane, Charlotte de Koomen, Coffeeshop Club Media, De Kinderfeestwinkel, Di Napoli Lederwaren, Elcie, Everyday Hero, Felice, Fenix Books, June Amsterdam, Just Waldo, Kilo Store, Living-in By Romy's, Lois, MC Jewels, Spetters Mode, Tally-ho, The Workout Lab, and Verse. The Albert Cuyp-markt serves as a central marketplace and a major local landmark known for its vibrant street market atmosphere."
1856,,Centrum-West,52.37612,4.89927,Private room,99,3,147,2.41,2,0,3,holland,"The area features a variety of dining options including China Si Chuan Restaurant, Kam Yin, Omelegg, Pancakes, and Prins Heerlijk, alongside pubs and bars like BackStage, Buster's, Charlie's Kitchen, De Kroonprins, De Mallemoolen, De Ooievaar, Hotel Bar Internationaal, KTV Bar, Louis Bar, Old Nickel, Old Quarter, and San Thomas. Retail and services include Dolce Vita, Funny People, Het Karbeel, Hotel De Koopermoolen, Hunters Coffee Shop, Kokopelli Smartshop, Laundromat Happy Inn, Luxer, Mask Shop Venice, Massage Centrum, San Tommaso, Tattoo Peter, and This ho(s)tel. Notable landmarks include the historic Sint Olofskapel, as well as Warmoesstraat and Zeedijk, which are significant streets known for their central role in the local history and character of the neighborhood."
2602,,De Pijp - Rivierenbuurt,52.35501,4.89342,Entire home/apt,636,1,6,0.17,1,261,0,holland,"The area features a diverse range of dining options including Alberto Pozzetto, Ami, BBrood, Burgerbar, Casa Infante, Cleen, Eggs Benaddicted, Eland & Vanderhelst, Firma Moes, GoodNews, L'Antica Pizzeria da Michele, Leonardo's Ravioli Bar, Mezzave, Müdavim, Parlour Amsterdam, Pizzeria Dope, Sonny, Sushito, Tjin's, Twins Olives, Volendammer Vishandel JCM Koning, and Warung Marlon. Retail, nightlife, and services are represented by Bierbaum, Café De Groene Vlinder, Café Flamingo, Cottoncake, De Duvel, De Kaaiman, Katsu, Tabakspeciaalzaak Van Hartingsveldt, and We Are Labels."
4153,,Centrum-Oost,52.36373,4.8844,Entire home/apt,300,2,9,0.38,1,314,4,holland,"The area offers a diverse dining scene ranging from Italian spots like Antonio's Restaurante, Mama Impasto, Peppino, and il Palio to international options such as Bojo, Hongdae Amsterdam, Puri Mas Indonesisch Restaurant, Royal Thai, The Madras Diaries, The Pantry, Yellow River, and Zorba de Griek. Nightlife and social venues include pubs and bars like 't Lammetje, Cooldown Cafe, Jazz Cafe Alto, NJOY Cocktailbar, and El Vino, alongside nightclubs such as Club Candela and Club Up."
3722,,Centrum-West,52.37366,4.90055,Entire home/apt,464,3,6,2.12,7,22,2,holland,"The area features a diverse dining scene with options including Amsterdamsche Vishandel, Bella Ciao, La Vida Argentinian Steakhouse, Kim's So, Jasmine, Hoi Tin, Nam Kee, New King, Si-Chuan, Taste of Culture, Xi'an Delicious Foods Express, Dolcia, BIU!TEA, YOYO!, Latei, and Cafe De Zeemeeuw, alongside retail and services like Wah Nam Hong, H. Vet, Henk, Henk Comics, City Records, Dijk 120, Sigarenmagazijn Simons, Canna420, and Bun-Air Travel Service. Notable landmarks include Chinatown, a vibrant cultural district, De Waag, a historic building of architectural significance, and the Fo Guang Shan He Hua Tempel, a prominent place of worship, while nightlife is represented by Lime Bar, Het Oosten, and the pub Henk."
3883,,Centrum-Oost,52.36343,4.88538,Private room,263,2,23,0.91,1,292,14,holland,"The area features a wide variety of dining options including Antonio's Restaurante, De blauwe Hollander, The Pantry, Taste of Culture, Moshi Moshi, Namche Nepalese Indian, Tacos & Tequila, Zorba de Griek, Picchino, Piccolino, il Palio, Los Argentinos, Porto Carrara, Mama Impasto, El Patio Granada, Granada, Karma Kebab, and Eetcafé. You will also find nightlife and social spots like Bourbon Street Music Club, Cafe het Hok, Caprice, De Margaritabar, and Cozy Amsterdam, alongside accommodations such as Hostel Centre, Orfeo Hostel, NICOLE, and Oma, and practical services like Wash Place."
803,,Centrum-West,52.38402,4.88491,Private room,189,3,79,1.04,1,340,13,holland,"The area features a variety of retail shops including clothing stores like COCO, Jutka & Riska, Number Nine, Lova, and Sam Sam, alongside specialized spots such as Hooks & Yarn, Affaire d'eau, and Schaak- en Go-winkel Het Paard. Dining and nightlife options include The Movies cinema, the bakery Bakkerij Mediterrane, the pastry shop Zoet & Hartig, and restaurants like Ristorante Pizzeria Toscana, Toscana, a Volo!, and De Dijk. The area also hosts the attraction (IM)MATERIAL, which serves as a notable cultural destination."
973,,Centrum-West,52.38411,4.8846,Entire home/apt,193,5,19,0.27,1,8,1,holland,"The area features diverse dining and retail options including Bakkerij Mediterrane, The Lunch Club, Ristorante Pizzeria Toscana, Toscana, a Volo!, Ekoplaza, De Kledingspecialist, Number Nine, Lova, Chique de Friemel, Hooks & Yarn, Eardrum Buzz, Tech Plus, Schaak- en Go-winkel Het Paard, Primera, and DHL Pakketautomaat. Local services and leisure include Gibson Hair, Cut The Crap, by Sarune, Amsterdam nail art studio, Sunday's, Medicijnman Apotheek Mouw & Kruysse, and the Roode Remise playground, while the historic Roode Bioscoop theatre and The Movies cinema serve as cultural landmarks that anchor the neighborhood's entertainment scene."
