price,room_type,ratings,guests,beds,bedrooms,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,num_rooms,surroundings_summary
256.77,Private room,4.5,2.0,1.0,1.0,1.0,2.0,True,1.0,1.0,2.0,"This area is vibrant and bustling, with an abundance of cafes, grocery stores, and gyms, making it a lively hub for residents and visitors alike. Its proximity to notable landmarks like Central Park and the New Museum adds to its appeal as a dynamic neighborhood."
201.42,Entire home/apt,4.95,2.0,1.0,1.0,1.0,87.0,False,1.0,1.0,2.0,"This area is nightlife-heavy, with an abundance of bars, dining options, and entertainment venues that set it apart from a typical New York block. It is a short walk from Washington Square Park and about 10 minutes from Times Square, Central Park, Empire State Building, Carnegie Hall, and Columbus Circle."
265.5,Entire home/apt,5.0,3.0,2.0,1.0,1.0,2.0,False,1.0,1.0,2.0,"This area is a vibrant mix of commercial and tourist-friendly, highlighted by an abundance of hotels, landmarks, and cafes. Notable nearby attractions include the Chrysler Building and Grand Central Terminal, with Summit One Vanderbilt, One Vanderbilt, Battery Park, Central Park, and the Empire State Building just a short distance away."
70.07,Private room,4.55,2.0,2.0,1.0,1.0,174.0,False,1.0,1.0,2.0,"This area is nightlife-heavy, with an abundance of bars and cafes, creating a vibrant atmosphere. However, it lacks sufficient parks and green space, making it feel more urban and bustling, especially given its proximity to the American Museum of Natural History and Prospect Park."
198.29,Entire home/apt,4.86,2.0,1.0,1.0,1.0,248.0,False,1.0,1.0,2.0,"This area is characterized by an above-average number of gyms and sports facilities, as well as hotels, making it a hub for fitness enthusiasts and travelers. However, it lacks notable landmarks within walking distance, giving it a more utilitarian feel compared to a typical New York block."
178.78,Entire home/apt,4.0,5.0,3.0,2.0,1.0,6.0,False,2.0,1.0,3.0,"This area is vibrant and tourist-prominent, with an abundance of landmarks and sights that draw visitors. It features a well above-average selection of dining options and hotels, making it a bustling hub just a couple minutes from The High Line."
2392.67,Entire home/apt,5.0,2.0,2.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"This area is vibrant and entertainment-heavy, distinguished by its well-above-average parks and green spaces, making it feel more open and inviting than a typical New York block. It is notably close to cultural landmarks like the Whitney Museum of American Art and The High Line, enhancing its appeal."
677.86,Entire home/apt,4.92,6.0,4.0,2.0,1.0,146.0,True,2.0,1.0,3.0,"This area is a vibrant residential neighborhood with an abundance of pharmacies, grocery stores, and parks, making it stand out from a typical New York block. Its proximity to Washington Square Park adds to its appeal as a community-oriented space."
291.57,Entire home/apt,5.0,4.0,2.0,1.0,1.5,6.0,False,1.0,1.5,2.5,"This area is nightlife-heavy, with an above-average concentration of bars and cafes, making it vibrant and lively despite the lack of nearby landmarks and below-average hotel options. The block stands out for its bustling atmosphere, particularly in the evenings."
1524.7,Entire home/apt,4.92,4.0,4.0,3.0,2.5,12.0,False,3.0,2.5,5.5,"This area is a quiet residential block with an above-average number of cafes but fewer hotels and limited transit options. There are no landmarks within walking distance, contributing to its tranquil atmosphere."
166.3,Entire home/apt,5.0,4.0,2.0,2.0,2.0,1.0,True,2.0,2.0,4.0,"This area is primarily residential with a quiet atmosphere, lacking the vibrant nightlife and cafe scene typical of many New York blocks. The above-average number of pharmacies suggests a focus on convenience and local services, while the absence of notable landmarks adds to its subdued character."
606.55,Entire home/apt,4.94,6.0,4.0,4.0,2.5,18.0,False,4.0,2.5,6.5,"This area is quiet and residential, with limited commercial activity due to the absence of hotels and transit options. It stands out for its proximity to Prospect Park and Grand Army Plaza, making it a peaceful retreat close to these notable landmarks."
250.83,Entire home/apt,5.0,6.0,3.0,3.0,1.0,6.0,False,3.0,1.0,4.0,"This area is quiet residential, with limited parks and green space, and few museums or gyms. It is about 10 minutes from Brooklyn Botanic Garden, which is a notable landmark in the vicinity."
180.75,Entire home/apt,4.94,6.0,3.0,3.0,2.0,65.0,False,3.0,2.0,5.0,"This area is quiet and limited, with no nearby landmarks or entertainment venues, making it feel more isolated compared to a typical New York block. The absence of subway and transit options further contributes to its low-key atmosphere."
176.88,Entire home/apt,5.0,4.0,2.0,2.0,2.0,41.0,True,2.0,2.0,4.0,"This area is quiet and limited, with no hotels, museums, or galleries nearby, and entertainment venues well below average. There are no notable landmarks within walking distance, contributing to its subdued atmosphere."
153.63,Entire home/apt,4.97,4.0,2.0,1.0,1.0,137.0,False,1.0,1.0,2.0,"This area is quiet and residential, with a notable lack of pharmacies and grocery stores, as well as limited nightlife options. It is about 10 minutes from Prospect Park, providing a nearby green space for recreation."
536.0,Entire home/apt,4.72,5.0,2.0,2.0,1.0,145.0,False,2.0,1.0,3.0,"This area is quiet and limited, lacking the usual cafes, entertainment venues, and cultural institutions typical of New York blocks. There are no landmarks within walking distance, contributing to its subdued atmosphere."
69.62,Private room,4.89,3.0,1.0,1.0,1.0,91.0,True,1.0,1.0,2.0,"This area is quiet and residential, lacking the typical vibrancy found in many New York blocks. Notably, there are no bars, hotels, or landmarks within walking distance, contributing to its subdued atmosphere."
61.66,Private room,2.0,1.0,1.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"This area is quiet and residential, with a notable absence of bars, cafes, and dining options, making it feel more secluded compared to a typical New York block. There are no landmarks within walking distance, further emphasizing its tranquil nature."
