index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_summary
2576,,Centrum-West,52.3747,4.89748,Private room,90,2,135,2.85,2,1,0,holland,"attraction: Oude Kerk, de Wallen
chocolate: Ganache
museum: Prostitutie Informatie Centrum
fast_food: High Snack, Jemi, Wok to Walk
tattoo: Bodycult
smartshop: RLR AMS Shop
brothel: 5DPORN
bar: Big Shots, Dirty Dick's, Eagle, Kings Cross, RoB, Route 66 Club Lounge
italian restaurant: Caffe Italia
confectionery: Crepes & Wafles
cafe: Cafe The Tribe, Stone's Cafe, Stones Cafe
irish pub: Slainte
hostel: Hostel Easy-Stay, The White Tulip Hostel, Hotel Ben
erotic: PROUD, Warmoesstraat
studio: Red Light Radio
gift: Elements Of Nature, Saul's
information: Prostitutie Informatie Centrum
asian fast_food: Wok to Walk
social_facility: Prostitutie Informatie Centrum
florist: Elements Of Nature
motel: Hotel Ben
burger fast_food: Burger Fabriek
hotel: The White Tulip Hostel
restaurant: Restaurant 40

The area reads as tourist-prominent. The specific draws that make it so are the Oude Kerk, de Wallen, and the Prostitutie Informatie Centrum."
78,,Centrum-West,52.3739,4.89263,Entire home/apt,171,3,35,0.65,1,0,4,holland,"attraction: Dam
clothes: H&M, Pop Up Store Marcous Vintage
jewelry: Swarovski, Tulashi
ice_cream: Ice Bakery
cheese: Cheese & More
turkish bakery: Simit Sarayi
sandwich fast_food: Subway
friture fast_food: FEBO
perfumery: ICI PARIS XL
burger fast_food: Burger King, McDonald's
cosmetics: KIKO, Pink Gellac
shoes: Foot Locker, Manfield, Nelson Schoenen
bag: Louisa
toys: Pop Mart
american cafe: De Drie Graefjes
restaurant: Barraka
cannabis: Amsterdam Seed Center, De Drie Monnikjes
tattoo: Tattoo & Art
pancake restaurant: De Pannenkoekerij
pub: De Nieuwe Pilserij
gift: Bon Dia, Dal Migliore
hotel: Dam Square Inn
information: 360 Amsterdam
ticket: Amsterdam nightlife ticket
cafe: 't Nieuwe Kafé, Dam Good Coffee
outdoor_seating: 't Nieuwe Kafé
photo: Museumfoto

The area reads as tourist-prominent. The presence of major landmarks like Dam, services catering specifically to visitors such as Amsterdam nightlife ticket, 360 Amsterdam, and Dam Square Inn, and high-traffic international retail and fast-food chains confirm its status as a central tourist hub."
2210,,De Pijp - Rivierenbuurt,52.35545,4.8918,Entire home/apt,124,2,30,0.78,1,30,0,holland,"Clothes: 7115 by Szeki, Aiche, All The Luck In The World, Elcie, Everyday Hero, Felice, June Amsterdam, Just Waldo, Kilo Store, Lois, Spetters Mode, Tally-ho
Bed: Amsterdamse Matrassencentrale
Fitness fitness_centre: The Workout Lab
Jewelry: Anna+Nina, Charlotte de Koomen, MC Jewels
Leather: Di Napoli Lederwaren
Books: Fenix Books
Beauty: American Nails
Sandwich cafe: Broodje Gerard
Vacant: Verse
Interior_decoration: Living-in By Romy's, Brick Lane
Restaurant: The Butcher, Carletto
Butcher: De Franse Slager Alain Bernard, Slagerij Zuid
Italian restaurant: C'est Chau
Fashion_accessories: Aiche
Vietnamese restaurant: Pho 91
Seafood: Vishandel Molenaar
Party: De Kinderfeestwinkel
Cannabis_coffee_shop cannabis: Coffeeshop Club Media
Marketplace: Albert Cuyp-markt

The area reads as tourist-prominent. The specific draw that makes it so is the Albert Cuyp-markt, a famous landmark and major attraction that draws significant foot traffic to the neighborhood."
1856,,Centrum-West,52.37612,4.89927,Private room,99,3,147,2.41,2,0,3,holland,"attraction: Mask Shop Venice, Sint Olofskapel
pub: BackStage, De Mallemoolen, De Ooievaar, Old Nickel, Old Quarter
tattoo: Tattoo Peter
bar: Hotel Bar Internationaal, Louis Bar
laundry: Laundromat Happy Inn
cannabis: Hunters Coffee Shop
chinese restaurant: China Si Chuan Restaurant
hotel: De Kroonprins, Hotel De Koopermoolen, Luxer, This ho(s)tel
restaurant: Buster's, Charlie's Kitchen, Dolce Vita, Funny People, Het Karbeel, Kam Yin, San Thomas
party: San Tommaso
hostel: Prins Heerlijk
massage: Massage Centrum
smartshop: Kokopelli Smartshop
information: Warmoesstraat
egg restaurant: Omelegg
cafe: KTV Bar, Zeedijk
pancake restaurant: Pancakes

The area reads as tourist-prominent. The presence of multiple hotels, a hostel, a mask shop, a smartshop, and a pancake restaurant indicates a high density of visitor-focused amenities typical of a central, high-traffic tourist district."
2602,,De Pijp - Rivierenbuurt,52.35501,4.89342,Entire home/apt,636,1,6,0.17,1,261,0,holland,"garden: Firma Moes
cafe: Café De Groene Vlinder, Café Flamingo, Parlour Amsterdam, De Kaaiman
playground: Eland & Vanderhelst
knives: Alberto Pozzetto
italian restaurant: Leonardo's Ravioli Bar
alcohol: De Duvel
ice_cream: Casa Infante
clothes: Cleen, Cottoncake, We Are Labels
sushi restaurant: Sushito
pizza restaurant: L'Antica Pizzeria da Michele, Pizzeria Dope
restaurant: Ami
cannabis: Katsu
italian cafe: GoodNews
hairdresser: Sonny
surinamese restaurant: Warung Marlon
asian convenience: Tjin's
burger fast_food: Burgerbar
breakfast restaurant: Eggs Benaddicted
bakery: BBrood
vacant: Bierbaum
mediterranean deli: Twins Olives
seafood: Volendammer Vishandel JCM Koning
turkish restaurant: Müdavim
falafel fast_food: Mezzave
tattoo: (None)
tobacco: Tabakspeciaalzaak Van Hartingsveldt
pub: (None)
moroccan restaurant: (None)

The area reads as everyday-residential. While there are popular dining spots like L'Antica Pizzeria da Michele and Pizzeria Dope, the presence of essential local services such as Tabakspeciaalzaak Van Hartingsveldt, Tjin's, BBrood, Sonny, and various neighborhood cafes like Café De Groene Vlinder and Café Flamingo indicates a community-focused environment rather than a tourist-prominent one."
4153,,Centrum-Oost,52.36373,4.8844,Entire home/apt,300,2,9,0.38,1,314,4,holland,"Pub: t Lammetje, Cooldown Cafe, Het feest van Joop
Restaurant: Bojo, De blauwe Hollander, Eetcafé, Miko Ramen, NICOLE, The Pantry
Italian restaurant: Antonio's Restaurante, Mama Impasto, Peppino, il Palio
Regional restaurant: De blauwe Hollander, Eetcafé
Mexican restaurant: Chicano's, Chicanos / Tex Mex, Maya
Curry restaurant: The Madras Diaries
Bar: Jazz Cafe Alto, NJOY Cocktailbar
Nightclub: Club Candela, Club Up
Chinese restaurant: Yellow River
Argentinian restaurant: El Rancho
Apartment: Cozy Amsterdam
Greek restaurant: Mykonos, Zorba de Griek
Indonesian restaurant: Bojo, Puri Mas Indonesisch Restaurant
Hostel: Amsterdam Hostel Leidseplein
Indian restaurant: Bollywood Indian Restaurant, The Madras Diaries
Cafe: Get Down
Thai restaurant: Royal Thai

The area reads as tourist-prominent. The specific draws that make it so are the presence of Amsterdam Hostel Leidseplein and a high concentration of nightlife and dining venues including Club Candela, Club Up, and various international restaurants, which are characteristic of a major tourist hub."
3722,,Centrum-West,52.37366,4.90055,Entire home/apt,464,3,6,2.12,7,22,2,holland,"Attraction: Chinatown, De Waag, Fo Guang Shan He Hua Tempel
Newsagent: Sigarenmagazijn Simons
Seafood: Amsterdamsche Vishandel
Bubble_tea cafe: BIU!TEA, YOYO!
Italian restaurant: Bella Ciao
Chinese restaurant: Nam Kee, New King, Si-Chuan, Taste of Culture
Italian fast_food: Del Posto
Fast_food: Xi'an Delicious Foods Express, Hoi Tin
Brothel: H. Vet
Cafe: Latei
Pub: Cafe De Zeemeeuw
Tobacco: Henk
Thai restaurant: Jasmine
Korean restaurant: Kim's So
Antiques: Dijk 120
Headshop: Canna420
Travel_agency: Bun-Air Travel Service
Place_of_worship: Fo Guang Shan He Hua Tempel
Music: City Records
Restaurant: Het Oosten, Dolcia
Books: Henk Comics, Henk
Bar: Lime Bar, Bella Ciao
Butcher: H. Vet
Supermarket: Wah Nam Hong
Argentinian restaurant: La Vida Argentinian Steakhouse

The area reads as tourist-prominent. The specific draws that make it so are Chinatown, De Waag, and Fo Guang Shan He Hua Tempel."
3883,,Centrum-Oost,52.36343,4.88538,Private room,263,2,23,0.91,1,292,14,holland,"Hostel: Hostel Centre, Orfeo Hostel
Restaurant: Antonio's Restaurante, Caprice, De blauwe Hollander, Eetcafé, Los Argentinos, Mama Impasto, Porto Carrara, The Pantry, il Palio
Playground: NICOLE
Chinese restaurant: Taste of Culture
Pizza restaurant: Picchino, Piccolino
Indian restaurant: Namche Nepalese Indian
Bar: Bourbon Street Music Club, Cafe het Hok, De Margaritabar
Mexican restaurant: Tacos & Tequila
Laundry: Wash Place
Italian restaurant: Antonio's Restaurante, Mama Impasto, il Palio
Regional restaurant: De blauwe Hollander, The Pantry
Cafe: Eetcafé
Guest_house: Cozy Amsterdam
Japanese restaurant: Moshi Moshi
Apartment: Granada
Greek restaurant: Zorba de Griek
Kebab fast_food: Karma Kebab

The area reads as tourist-prominent. The presence of multiple hostels, a guest house, and a high concentration of diverse restaurants and bars suggests a location catering to visitors rather than long-term residents. Specific draws include the Bourbon Street Music Club, which is a well-known entertainment venue, and the variety of international dining options like De blauwe Hollander and The Pantry, which are typical staples for tourists exploring the city."
803,,Centrum-West,52.38402,4.88491,Private room,189,3,79,1.04,1,340,13,holland,"clothes: (IM)MATERIAL, COCO, Chique de Friemel, Jutka & Riska, Number Nine
tobacco: Primera
attraction: The Movies
interior_decoration: Kuwadro
friture fast_food: De Dijk
optician: Eye Wish
guest_house: Lova
sewing: Hooks & Yarn
hairdresser: Gibson Hair, Haarwerk
pharmacy: Medicijnman Apotheek Mouw & Kruysse
pastry: Zoet & Hartig
supermarket: Ekoplaza
cinema: The Movies
newsagent: Primera
second_hand: Sam Sam
beauty: Amsterdam nail art studio, by Sarune
pizza restaurant: Ristorante Pizzeria Toscana
games: Schaak- en Go-winkel Het Paard
electronics: Tech Plus
breakfast cafe: Toscana
parcel_locker: DHL Pakketautomaat
bakery: Bakkerij Mediterrane
playground: Affaire d'eau
italian restaurant: a Volo!

The area reads as everyday-residential. The specific draws that make it so are the presence of essential services such as the Medicijnman Apotheek Mouw & Kruysse, Ekoplaza, DHL Pakketautomaat, and various local service providers like hairdressers, an optician, and a newsagent, which cater to the daily needs of local inhabitants rather than transient visitors."
973,,Centrum-West,52.38411,4.8846,Entire home/apt,193,5,19,0.27,1,8,1,holland,"attraction: Roode Bioscoop
sewing: Hooks & Yarn
pharmacy: Medicijnman Apotheek Mouw & Kruysse
clothes: Chique de Friemel, De Kledingspecialist, Number Nine
supermarket: Ekoplaza
cinema: The Movies
newsagent: Primera
music: Eardrum Buzz
pub: 't Centrum
second_hand: (IM)MATERIAL
hairdresser: Cut The Crap, Gibson Hair
theatre: Roode Remise
beauty: Amsterdam nail art studio, by Sarune
pizza restaurant: Ristorante Pizzeria Toscana
tailor: Lova
games: Schaak- en Go-winkel Het Paard
electronics: Tech Plus
cafe: The Lunch Club
breakfast cafe: a Volo!
parcel_locker: DHL Pakketautomaat
bakery: Bakkerij Mediterrane
playground: (None listed)
italian restaurant: Toscana
tanning_salon: Sunday's
vacant: (None listed)
fast_food: (None listed)

The area reads as everyday-residential. The specific draws that make it so are the presence of essential local services including the Medicijnman Apotheek Mouw & Kruysse, Ekoplaza, Primera, and the DHL Pakketautomaat, which cater to the daily needs of local residents rather than transient visitors."
