price,room_type,ratings,guests,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings_summary
411.0,Private room,4.79,2.0,1.0,39.0,False,1.0,1.0,This block is located near Bryant Park and is defined by an exceptionally high concentration of retail shops and cafes compared to the rest of the city.
278.0,Entire home/apt,4.71,4.0,1.0,41.0,False,2.0,1.0,"Located near Bryant Park and Grand Central Terminal, this area is characterized by an extremely high concentration of retail and cafes alongside limited green space."
2212.37,Entire home/apt,5.0,6.0,2.0,4.0,False,2.0,2.0,This area near Bryant Park and Grand Central Terminal is characterized by an extremely high density of retail and hospitality options with limited green space.
555.0,Entire home/apt,4.85,3.0,1.0,124.0,False,1.0,1.0,"This block is located near Times Square and is characterized by a high concentration of retail shops, hotels, and entertainment venues."
285.29,Entire home/apt,4.5,2.0,1.0,8.0,False,1.0,1.0,This block near Bryant Park is characterized by an exceptionally high concentration of retail and cafes compared to the rest of the city.
327.0,Entire home/apt,4.61,4.0,1.0,41.0,False,2.0,1.0,This block near Bryant Park is characterized by an exceptionally high density of retail and cafes compared to the rest of the city.
639.06,Entire home/apt,4.74,5.0,1.0,61.0,False,2.0,1.0,"This area is heavily concentrated with retail and cafes, located a short walk from Grand Central Terminal."
94.03,Entire home/apt,3.0,2.0,1.0,1.0,False,1.0,1.0,This area near Bryant Park is characterized by an exceptionally high concentration of retail shops and cafes compared to the rest of the city.
262.47,Entire home/apt,3.33,2.0,1.0,6.0,False,1.0,1.0,This block is located near Grand Central Terminal and is characterized by an exceptionally high concentration of retail shops and cafes.
211.0,Private room,4.64,2.0,1.0,90.0,False,1.0,1.0,This area near Herald Square is characterized by an exceptionally high density of retail shops and hotels.
320.0,Entire home/apt,4.0,2.0,1.0,11.0,False,1.0,1.0,This area near Bryant Park is characterized by an exceptionally high density of retail and cafes compared to the rest of the city.
199.71,Entire home/apt,4.0,2.0,1.0,1.0,False,1.0,1.0,This area is characterized by a high concentration of retail and cafes and is situated near Grand Central Terminal.
328.5,Entire home/apt,4.71,4.0,1.0,68.0,False,1.0,1.0,This area is characterized by a high concentration of retail and hospitality establishments and is located near Herald Square and the Empire State Building.
639.06,Entire home/apt,4.8,4.0,1.0,51.0,False,2.0,1.0,This area near Bryant Park is characterized by an exceptionally high density of retail and cafes compared to the rest of the city.
278.0,Hotel room,3.0,2.0,1.0,1.0,False,1.0,1.0,"This area near Bryant Park is characterized by an exceptionally high concentration of retail, cafes, and hotels alongside limited green space."
700.0,Hotel room,4.29,8.0,2.0,7.0,False,2.0,2.0,This area near Bryant Park and Grand Central Terminal is characterized by an extremely high density of retail and cafes alongside limited green space.
350.0,Hotel room,4.0,4.0,1.0,4.0,False,1.0,1.0,This area near Bryant Park and Grand Central Terminal is characterized by an exceptionally high density of retail and dining establishments alongside limited green space.
308.0,Hotel room,5.0,2.0,1.0,1.0,False,1.0,1.0,This area near Bryant Park and Grand Central Terminal is characterized by an extremely high density of retail shops and cafes alongside limited green space.
453.0,Hotel room,4.67,2.0,1.0,3.0,False,1.0,1.0,This area near Bryant Park is characterized by an exceptionally high density of retail and cafes alongside limited green space relative to its commercial intensity.
278.0,Hotel room,4.63,2.0,1.0,59.0,False,1.0,1.0,This area near Bryant Park and Grand Central Terminal is characterized by an extremely high density of retail and dining options alongside proximity to major public green space.
350.0,Hotel room,5.0,4.0,1.0,1.0,False,1.0,1.0,This area near Bryant Park is characterized by an exceptionally high concentration of retail and cafes alongside limited green space relative to its density.
610.0,Private room,4.1,2.0,1.0,10.0,False,1.0,1.0,"This area near Times Square and Bryant Park is characterized by a high concentration of retail shops, hotels, and entertainment venues."
343.0,Entire home/apt,4.78,5.0,1.0,180.0,True,1.0,1.0,"Located near Herald Square, this area is exceptionally dense in transit, dining, and retail options compared to the rest of the city."
284.1,Entire home/apt,4.91,3.0,1.0,11.0,False,1.0,1.0,This area near Herald Square is characterized by an exceptionally high density of retail and dining establishments relative to the rest of the city.
595.0,Entire home/apt,4.8,3.0,1.0,59.0,False,1.0,1.0,This area near Bryant Park and Times Square is characterized by an exceptionally high density of retail shops and entertainment venues.
81.22,Entire home/apt,2.67,2.0,1.0,3.0,False,1.0,1.0,This block near Grand Central Terminal is characterized by an extremely high density of retail and cafes alongside proximity to significant green space.
858.17,Entire home/apt,4.81,6.0,2.0,21.0,False,2.0,2.0,"This area is characterized by an exceptionally high density of retail and entertainment venues, situated a short walk from Times Square and Bryant Park."
233.85,Entire home/apt,5.0,2.0,1.0,1.0,False,1.0,1.0,"Located near Herald Square, this area is exceptionally transit-rich and dense with retail and hotel activity."
