neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,surroundings_summary
Centrum-Oost,Private room,55,2,520,5.57,2,267,41,"The area features dining at Secret Garden and nightlife at Club NYX and BLEND XL. It also hosts the Kattenkabinet, a museum dedicated to feline-themed art that serves as a unique cultural landmark for the neighborhood."
Zuid,Entire home/apt,149,4,95,0.87,1,0,0,"The area features Montessori Lyceum Amsterdam, which is a school. There is also a garden."
Slotervaart,Private room,42,2,205,1.89,1,355,10,There are no specific places listed to describe the surroundings.
Zuid,Entire home/apt,99,7,54,0.71,1,0,1,"The area features green spaces such as the Rosarium and Vondelpark. Vondelpark serves as a major landmark and popular public park, providing a central recreational hub for the city."
Centrum-West,Entire home/apt,157,6,24,0.26,1,156,2,The area features a wellness space at Svaha Yoga - Jordaan Shala alongside the cafe a Sense of Place - Hi-Fidelity Coffee.
De Pijp - Rivierenbuurt,Entire home/apt,250,21,29,0.23,2,47,2,"The surroundings consist of a garden, a park, and a vacant lot."
Centrum-West,Private room,265,2,12,0.45,1,343,2,"The area features a mix of cafes and dining options including Lanskroon, Eetcafe Singel 404, Dutch Flowers Coffee Shop, and The Lebanese Sajeria. Retail and services in the neighborhood include Amsterdam Vintage Watches, Amsterdam cheese company, Story Tiles, and Kapsalon Jeroen Bruggeman."
De Pijp - Rivierenbuurt,Entire home/apt,145,18,92,0.81,1,90,2,"The area features convenient retail and services including Lidl and Paul & Ninette Bike Rental. You will also find hospitality and dining options such as MAX Hotel, Coffeeshop IBIZA, and Paul & Ninette Vinotheque."
Centrum-Oost,Entire home/apt,707,2,99,0.88,2,281,0,The surroundings feature a playground and an artwork.
De Pijp - Rivierenbuurt,Entire home/apt,200,3,27,0.26,1,363,0,"The area features dining options including Thai Roof, Warung Swietie Lelydorp, and the pub Café De Baron, alongside retail services such as Albert Heijn, Gall & Gall, and Hairstudio Pu-ma. Local amenities include Boksschool VBSK Albert Cuyp, Dental 220, Partou, Taalhuis Amsterdam, and the cultural venue Badcuyp, which serves as a notable community hub for local arts and events."
Centrum-Oost,Private room,120,2,421,3.77,1,119,5,"The area features dining and nightlife options including Blin Queen, Pizza Beppe, and the Irish pub Mulligans, alongside accommodations like Amsterdam House Hotel and Hotel Amstelzicht. The Dancing Houses serves as a notable local viewpoint, offering a distinct perspective of the surrounding architecture."
De Baarsjes - Oud-West,Entire home/apt,119,5,71,0.61,1,14,3,The area features the Leonardo Hotel Amsterdam and the billiards pub Keu Poolcafe.
