price,room_type,ratings,guests,beds,bedrooms,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,num_rooms,surroundings_summary
6081.33,Entire home/apt,4.98,8.0,4.0,4.0,3.5,50.0,True,4.0,3.5,7.5,"Choose this place if you want to be in the heart of the action with immediate access to major landmarks like Times Square, Central Park, and the Empire State Building, along with an abundance of dining, shopping, and transit options. Skip it if you are looking for a quiet, secluded retreat, as the high density of entertainment venues, nightlife, and tourist attractions means the area will be busy and energetic."
350.0,Hotel room,5.0,4.0,2.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"Choose this place if you want to be in the heart of the action with immediate access to major landmarks like Times Square and the Empire State Building, as well as an abundance of dining, transit, and entertainment options. Skip it if you are looking for a quiet, residential atmosphere, as the high density of nightlife, venues, and tourist attractions means this area will be busy and energetic at all hours."
308.0,Hotel room,5.0,2.0,1.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"Choose this place if you want to be in the center of the action with immediate access to major landmarks like Times Square and the Empire State Building, as well as endless dining, shopping, and transit options. Skip it if you are looking for a quiet, secluded retreat, as the high concentration of nightlife, entertainment, and tourist attractions means this area will be busy and lively at all hours."
296.0,Entire home/apt,4.91,4.0,2.0,1.0,1.0,11.0,True,1.0,1.0,2.0,"Choose this place if you want to be in the heart of the action with immediate access to major landmarks like Intrepid Sea, Air & Space Museum, Central Park, One Vanderbilt, and Summit One Vanderbilt, as well as endless dining, transit, and entertainment options. Skip it if you are looking for a quiet, low-traffic residential retreat away from the high-energy, bustling pace of a major urban hub."
595.0,Entire home/apt,4.8,3.0,1.0,1.0,1.0,59.0,False,1.0,1.0,2.0,"Choose this place if you want to be in the heart of the action with immediate access to major landmarks like Bryant Park, the Empire State Building, Times Square, Central Park, and the Intrepid Sea, Air & Space Museum, as well as an abundance of dining, shopping, and transit options. Skip it if you are looking for a quiet, secluded retreat, as the high concentration of nightlife, entertainment, and tourist attractions makes this a very busy and active area."
411.0,Private room,4.79,2.0,1.0,1.0,1.0,39.0,False,1.0,1.0,2.0,"Choose this place if you want to be in the center of the action with immediate access to major transit, world-class landmarks like Central Park and Summit One Vanderbilt, and an endless variety of dining, shopping, and entertainment. Skip it if you are looking for a quiet, secluded retreat away from the high-energy atmosphere of a bustling, tourist-heavy urban hub."
283.53,Entire home/apt,4.16,2.0,1.0,1.0,1.0,45.0,False,1.0,1.0,2.0,"Choose this place if you want to be in the center of the action with immediate access to transit, dining, and the Empire State Building. Skip it if you are a light sleeper or prefer a quiet, residential neighborhood away from the constant activity of nightlife and entertainment venues."
367.05,Entire home/apt,4.08,6.0,3.0,1.0,1.0,60.0,False,1.0,1.0,2.0,"Choose this place if you want to be in the heart of the action with immediate access to transit, dining, nightlife, and the Empire State Building. Skip it if you are a light sleeper or prefer a quiet, residential neighborhood away from high-traffic tourist areas."
278.0,Entire home/apt,4.71,4.0,2.0,2.0,1.0,41.0,False,2.0,1.0,3.0,"Choose this place if you want to be in the heart of the action with immediate access to major landmarks like Central Park, Bryant Park, and Times Square, along with an abundance of dining, shopping, and transit options. Skip it if you are looking for a quiet, residential retreat, as the high concentration of nightlife, entertainment, and tourist attractions means the area will be busy and energetic at all hours."
765.0,Private room,5.0,2.0,1.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"Choose this place if you want to be in the heart of the action with immediate access to Empire State Building, Bryant Park, Times Square, Intrepid Sea, Air & Space Museum, and Central Park, as well as an abundance of dining, transit, and entertainment options. Skip it if you are looking for a quiet, residential retreat away from the high-energy crowds and constant activity of a major tourist hub."
284.1,Entire home/apt,4.91,3.0,2.0,1.0,1.0,11.0,False,1.0,1.0,2.0,"Choose this place if you want to be in the heart of the action with immediate access to endless dining, shopping, transit, and major landmarks like Central Park, the Empire State Building, Bryant Park, and Battery Park. Skip it if you are a light sleeper or prefer a quiet, residential neighborhood away from high-density nightlife and tourist activity."
