price,room_type,ratings,guests,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings_summary
284.1,Entire home/apt,4.91,3.0,1.0,11.0,False,1.0,1.0,"Top blocks for cafes and shops anchor a dense retail corridor steps from Herald Square and Madison Square Garden, with rapid transit and sports facilities steps away adding broad citywide access."
323.33,Private room,4.74,1.0,1.0,43.0,False,2.0,1.0,"Shops, cafes, and hotels rank among the highest-density blocks citywide, while grocery and markets sit steps away for everyday needs. Herald Square and the Empire State Building are within a short walk, placing the location near Midtown's core landmarks."
690.98,Private room,4.0,8.0,2.0,1.0,False,2.0,2.0,"Hotels and shops rank in the top 1% of NYC blocks while gyms and sports facilities rank in the top 2%, and grocery markets and cultural venues are steps away. The location sits right by the Empire State Building and a couple minutes from Herald Square."
588.0,Entire home/apt,4.0,2.0,1.0,5.0,False,1.0,1.0,"Shops, cafes, and entertainment venues cluster at exceptionally high levels for NYC, while hotels and sports facilities sit right on the doorstep. Times Square is right by, with Bryant Park a couple minutes away and Rockefeller Center a short walk from the block."
290.0,Private room,4.14,2.0,1.0,7.0,False,1.0,1.0,"Gyms and sports facilities sit at the very top of citywide density, while hotels and shops also rank among the highest in NYC, with grocery and markets right on the doorstep and cultural venues a short walk away. Madison Square Park is a couple minutes away, with the Flatiron Building and Herald Square within a short walk and the Empire State Building and Madison Square Garden about ten minutes further."
1452.0,Private room,5.0,12.0,3.0,1.0,False,3.0,3.0,"Entertainment venues, hotels, and shops cluster at some of the highest concentrations found across NYC blocks, while parks and cultural venues remain within a short walk. The block sits right by Rockefeller Center, a couple minutes from Times Square, and a short walk from Radio City Music Hall, Top of the Rock, and the Museum of Modern Art."
1199.0,Entire home/apt,5.0,5.0,1.0,21.0,True,2.0,1.0,"Top-tier dining, gyms, and hotels sit alongside immediate cultural venues and quick grocery access, with Madison Square Park and the Empire State Building only a short walk away."
312.68,Entire home/apt,4.73,4.0,1.0,15.0,False,1.0,1.0,"Transit-rich block with dense entertainment and fitness options, set steps from cultural venues and hotels near Times Square and Madison Square Garden."
595.92,Private room,4.46,8.0,1.0,56.0,False,1.0,1.0,"Gyms, shops, and cafes cluster at unusually high densities for New York City, while hotels and rapid transit sit right at the block. Madison Square Garden is only a couple of minutes away, placing the area within easy reach of Midtown's major landmarks."
475.05,Entire home/apt,3.0,5.0,1.0,1.0,False,1.0,1.0,"Entertainment venues, subway access, and gyms stand out against the rest of New York City, with hotels on the doorstep and Bryant Park steps away."
266.0,Private room,4.4,2.0,1.0,15.0,False,1.0,1.0,"

Cafés and museums appear here at concentrations matched by only a small share of city blocks, with shops also well above typical levels. Grocery and market options sit steps away, and the New Museum is about a ten-minute walk."
