price,room_type,ratings,guests,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings_summary
284.1,Entire home/apt,4.91,3.0,1.0,11.0,False,1.0,1.0,"Dense clusters of cafes, shops, and restaurants define this location situated steps from rapid transit and sports facilities. The neighborhood sits adjacent to Herald Square, providing immediate access to major transit hubs and iconic landmarks."
323.33,Private room,4.74,1.0,1.0,43.0,False,2.0,1.0,"Dense clusters of retail, cafes, and hotels define the streetscape near Herald Square and Bryant Park. Grocery markets and sports facilities are located steps away from these central thoroughfares."
690.98,Private room,4.0,8.0,2.0,1.0,False,2.0,2.0,"High-density concentrations of luxury hotels, retail boutiques, and fitness centers define this corridor situated directly beside the Empire State Building. Grocery markets and cultural venues are located steps away from these thoroughfares."
588.0,Entire home/apt,4.0,2.0,1.0,5.0,False,1.0,1.0,"Dense concentrations of retail, cafes, and entertainment venues define the immediate surroundings of Times Square. Hotels and sports facilities sit within the immediate vicinity of these transit-accessible corridors."
290.0,Private room,4.14,2.0,1.0,7.0,False,1.0,1.0,"High-density athletics facilities and commercial lodging define the streetscape, while fresh grocery markets sit immediately outside the front door. This location remains a short walk from the Flatiron Building and Madison Square Park."
1452.0,Private room,5.0,12.0,3.0,1.0,False,3.0,3.0,"Dense clusters of entertainment venues, hotels, and shops define this location adjacent to Rockefeller Center. Cultural venues and public parks remain accessible within a short walk of the surrounding streets."
1199.0,Entire home/apt,5.0,5.0,1.0,21.0,True,2.0,1.0,"High-density athletic facilities and a concentration of hotels define the immediate surroundings, while cultural venues sit directly on the doorstep. Residents enjoy a short walk to Madison Square Park and local grocery markets."
312.68,Entire home/apt,4.73,4.0,1.0,15.0,False,1.0,1.0,"High-density transit hubs and entertainment venues define the immediate surroundings, with cultural institutions located just steps away. Proximity to Times Square and Madison Square Garden anchors this central district within the city's primary transit network."
595.92,Private room,4.46,8.0,1.0,56.0,False,1.0,1.0,"High-density retail corridors and fitness facilities define the streetscape, which sits steps away from rapid transit connections. Hotels occupy the immediate surroundings, placing the location a couple minutes from Madison Square Garden."
475.05,Entire home/apt,3.0,5.0,1.0,1.0,False,1.0,1.0,"High-density entertainment venues and transit hubs define the immediate surroundings, while nearby parks provide accessible open space. Proximity to Madison Square Garden places the location at the center of the city's most active corridors."
266.0,Private room,4.4,2.0,1.0,15.0,False,1.0,1.0,"Dense clusters of cafes, galleries, and shops define the streetscape, while grocery markets and sports facilities remain accessible within steps. The New Museum and the Manhattan Bridge are both located about 10 minutes away."
164.73,Entire home/apt,4.87,2.0,1.0,23.0,True,2.0,1.0,"Densely concentrated cafes and grocery stores define the streetscape, while a high density of museums and galleries offers cultural depth. The New Museum and the Manhattan Bridge are a short walk away, with hotels located steps from the block."
724.27,Entire home/apt,4.83,6.0,1.0,6.0,True,2.0,1.0,Times Square anchors a dense concentration of entertainment venues and hotels that contrasts with the immediate availability of grocery markets and cultural institutions. This central hub sits within walking distance of Rockefeller Center and Bryant Park.
325.0,Private room,4.46,2.0,1.0,61.0,False,1.0,1.0,"Concentrated clusters of museums, galleries, and cafes define this neighborhood, which also maintains immediate access to local grocery stores and hotels. The New Museum sits a short walk away, while the Manhattan Bridge is reachable in about ten minutes."
232.42,Private room,4.86,2.0,1.0,7.0,False,1.0,1.0,"High concentrations of fitness facilities, retail storefronts, and entertainment venues define the immediate surroundings. Cultural institutions and fresh food markets are located steps away from the property."
454.78,Entire home/apt,4.33,6.0,1.0,3.0,False,3.0,1.0,"High-density entertainment venues and extensive subway transit access define the immediate surroundings. Hotels and cultural institutions sit steps away, while Times Square and Hudson Yards remain within a short commute."
198.53,Private room,4.9,4.0,1.0,39.0,True,1.0,1.0,"High concentrations of grocery stores, dining, and cafes distinguish this location from the rest of the city. Cultural venues are situated on the doorstep, and the Manhattan Bridge is a short walk away."
207.0,Hotel room,4.0,4.0,1.0,1.0,False,1.0,1.0,Proximity to the Manhattan Bridge offers immediate access to extensive dining and museum options that rank among the most concentrated in the city. Residents also benefit from a short walk to nearby parks and open space.
155.03,Entire home/apt,5.0,3.0,1.0,1.0,False,1.0,1.0,"Museums and galleries sit alongside a high concentration of grocery stores and nightlife venues. Sports facilities are located steps away, while the New Museum is a short walk from the area."
336.65,Entire home/apt,4.98,3.0,1.5,47.0,False,1.0,1.5,High-density entertainment venues and nightlife hubs define the immediate surroundings of Times Square. Hotels and cultural institutions sit steps away from the transit-rich intersection of major subway lines.
615.0,Hotel room,5.0,2.0,1.0,2.0,False,1.0,1.0,"High-density nightlife venues and a concentration of museums and galleries define the neighborhood, which sits a couple minutes from the New Museum. Hotels are located steps away from these cultural and social hubs."
285.17,Entire home/apt,4.83,4.0,1.0,6.0,False,1.0,1.0,"High concentrations of fitness facilities, grocery stores, and hotels distinguish this neighborhood from the rest of the city. Cultural venues are located steps away, while Madison Square Park is accessible via a short walk."
214.9,Entire home/apt,4.81,2.0,1.0,16.0,False,2.0,1.0,"This neighborhood features a dense concentration of world-class dining, art galleries, and museums alongside immediate access to the expansive green space of Washington Square Park. Residents benefit from a short walk to local sports facilities and rapid transit connections."
318.27,Private room,4.75,4.0,1.0,129.0,False,2.0,1.0,"High-density grocery options and extensive transit connectivity define the immediate surroundings, which also sit within walking distance of the Manhattan Bridge. Proximity to major museums and local parks provides a balance between urban infrastructure and open space."
