price,room_type,ratings,guests,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings_summary
284.1,Entire home/apt,4.91,3.0,1.0,11.0,False,1.0,1.0,"Dense blocks of exceptional shopping, dining, and cafe density surround Herald Square, offering immediate access to rapid transit and sports facilities."
323.33,Private room,4.74,1.0,1.0,43.0,False,2.0,1.0,"This dense commercial district concentrates an exceptionally high density of citywide shopping, cafe, and lodging options within a short walk of Times Square and Grand Central Terminal. Daily essentials including grocery markets and sports facilities are located just steps away."
690.98,Private room,4.0,8.0,2.0,1.0,False,2.0,2.0,"Midtown Manhattan pairs an exceptional density of hotels and retail with immediate neighborhood access to daily markets and cultural institutions, sitting right by the Empire State Building."
588.0,Entire home/apt,4.0,2.0,1.0,5.0,False,1.0,1.0,"This vibrant urban sector combines some of the city's densest concentrations of retail shops, cafes, and entertainment venues with immediate proximity to Times Square and Grand Central Terminal. Hotels are located on the doorstep, offering direct access to major transit hubs and iconic Midtown landmarks."
290.0,Private room,4.14,2.0,1.0,7.0,False,1.0,1.0,"Centres of commerce and lodging sit directly alongside an extraordinary density of athletic and fitness facilities. Markets and grocery stores are on the doorstep, while Madison Square Park is a couple minutes away."
1452.0,Private room,5.0,12.0,3.0,1.0,False,3.0,3.0,"Dense clusters of entertainment venues, hotels, and retail sit right by Rockefeller Center, while nearby parks and cultural institutions remain a short walk away."
1199.0,Entire home/apt,5.0,5.0,1.0,21.0,True,2.0,1.0,"High concentrations of fitness facilities and dining destinations contrast with the surrounding urban fabric, while cultural venues sit directly on the doorstep. The neighborhood stands a short walk from Madison Square Park and Herald Square."
312.68,Entire home/apt,4.73,4.0,1.0,15.0,False,1.0,1.0,Exceptional transit access and a high concentration of fitness facilities contrast with dense entertainment options near Times Square. Cultural venues sit steps away from the bustling streets.
595.92,Private room,4.46,8.0,1.0,56.0,False,1.0,1.0,"Intense retail, cafe, and fitness densities contrast with immediate access to rapid transit and hotels near Madison Square Garden."
475.05,Entire home/apt,3.0,5.0,1.0,1.0,False,1.0,1.0,"This neighborhood concentrates elite concentrations of entertainment venues and transit access alongside nearby hotel accommodations. Parks and open space sit steps away, while well-known destinations like Times Square and Madison Square Garden are accessible within about ten minutes."
266.0,Private room,4.4,2.0,1.0,15.0,False,1.0,1.0,"This neighborhood pairs an exceptional concentration of independent cafes, museums, and shops with immediate access to everyday grocery markets. Located about ten minutes from the New Museum, the surrounding streets blend dense cultural destinations with residential convenience."
164.73,Entire home/apt,4.87,2.0,1.0,23.0,True,2.0,1.0,"An exceptionally dense concentration of art galleries, specialty grocers, and independent cafes defines this block, which sits just a short walk from the New Museum. Rapid transit and nearby hotels provide convenient access to the surrounding citywide contrasts."
724.27,Entire home/apt,4.83,6.0,1.0,6.0,True,2.0,1.0,"This vibrant Midtown sector concentrates an unmatched density of entertainment venues, hotels, and cafes alongside everyday markets on the doorstep. Cultural venues are steps away, while the area remains right by Times Square."
325.0,Private room,4.46,2.0,1.0,61.0,False,1.0,1.0,Dense cultural attractions and contemporary galleries contrast with everyday grocery access near the New Museum. Rapid transit is available within a short walk.
232.42,Private room,4.86,2.0,1.0,7.0,False,1.0,1.0,"This dynamic neighborhood combines an exceptionally dense concentration of fitness centers, retail shops, and entertainment venues with immediate proximity to Madison Square Garden and cultural venues. Daily errands are streamlined by fresh markets just steps away, contrasting with the intense urban energy anchored nearby by the Empire State Building."
454.78,Entire home/apt,4.33,6.0,1.0,3.0,False,3.0,1.0,"High-density entertainment venues and transit stations contrast with quieter residential side streets, while cultural venues stand steps away. The neighborhood sits about 10 minutes from Times Square and Madison Square Garden."
198.53,Private room,4.9,4.0,1.0,39.0,True,1.0,1.0,"This Lower East Side setting contrasts an exceptional concentration of everyday groceries, dining, and cafes with cultural venues right on the doorstep and parks a short walk away. The location sits a short walk from the Manhattan Bridge and about ten minutes from the New Museum."
207.0,Hotel room,4.0,4.0,1.0,1.0,False,1.0,1.0,"Museums, galleries, and diverse dining options fill this dense urban neighborhood alongside abundant grocery stores. Nearby parks and open spaces offer outdoor access within a short walk from the Manhattan Bridge."
155.03,Entire home/apt,5.0,3.0,1.0,1.0,False,1.0,1.0,"This Lower East Side setting pairs an extraordinary density of museums, galleries, grocery stores, and nightlife venues with a short walk to the New Museum. Sports facilities are steps away, while Manhattan Bridge is about ten minutes distant."
336.65,Entire home/apt,4.98,3.0,1.5,47.0,False,1.0,1.5,This hyper-dense entertainment and nightlife district features unmatched transit access and sits just steps from Rockefeller Center and Times Square.
615.0,Hotel room,5.0,2.0,1.0,2.0,False,1.0,1.0,"Intense nightlife and a dense concentration of cafes contrast with an unusually high density of neighborhood museums and galleries. Sports facilities sit on the doorstep, and the New Museum stands a couple minutes away."
285.17,Entire home/apt,4.83,4.0,1.0,6.0,False,1.0,1.0,Blocks balancing an exceptionally dense concentration of fitness clubs and grocers with a prominent hotel presence stand steps away from cultural venues. Madison Square Park is a short walk from the location.
214.9,Entire home/apt,4.81,2.0,1.0,16.0,False,2.0,1.0,Dense gallery blocks and high-tier dining sit alongside expansive parks near Washington Square Park. Rapid transit and sports facilities are a short walk away.
318.27,Private room,4.75,4.0,1.0,129.0,False,2.0,1.0,"Densely concentrated transit and cultural institutions meet everyday conveniences, positioned steps away from open space and a short walk from the Manhattan Bridge."
154.22,Entire home/apt,4.33,1.0,1.0,6.0,False,1.0,1.0,"An exceptionally dense concentration of retail shops, hotels, and athletic facilities defines the neighborhood, which sits steps away from expansive open parkland and major cultural venues. A short walk leads to the Waldorf Astoria."
289.35,Private room,3.68,2.0,1.0,31.0,False,1.0,1.0,"This location combines a citywide pinnacle of entertainment venues and dining with immediate hotel access. Situated a couple minutes from Times Square, it places guests steps away from daily markets."
245.8,Entire home/apt,5.0,3.0,2.0,2.0,False,1.0,2.0,Dense residential streets combine immediate subway access and abundant neighborhood markets with a rich concentration of cultural institutions. Parks and the Manhattan Bridge are a short walk away.
397.7,Entire home/apt,4.62,4.0,1.0,81.0,False,1.0,1.0,This dense Manhattan neighborhood pairs exceptional concentrations of fitness facilities and lodging with abundant daily provisions. Cultural venues sit on the doorstep while Madison Square Park remains a short walk away.
547.36,Entire home/apt,4.83,4.0,1.0,46.0,True,1.0,1.0,"This Manhattan neighborhood pairs an exceptional density of museums, galleries, and nightlife with everyday convenience anchored by nearby grocery stores. Rapid transit is a short walk away, and the area is about 10 minutes from the New Museum and Manhattan Bridge."
116.15,Entire home/apt,4.7,2.0,1.0,37.0,False,1.0,1.0,"Dense concentrations of renowned dining, nightlife, and cultural institutions sit steps from open parkland and a short walk to rapid transit near Washington Square Park."
388.43,Entire home/apt,5.0,2.0,1.0,1.0,False,2.0,1.0,"This East Village setting combines some of the city's densest nightlife and dining with remarkably close grocery access. Rapid transit is steps away, and cultural destinations like the New Museum sit about ten minutes from the door."
418.61,Entire home/apt,3.0,3.0,1.0,1.0,False,1.0,1.0,"Unrivaled concentrations of entertainment venues, dining, and nightlife define this bustling urban setting, while nearby hotels and sports facilities offer immediate convenience. The neighborhood sits a short walk from Rockefeller Center, Carnegie Hall, and Times Square."
283.55,Entire home/apt,4.81,1.0,1.0,62.0,False,1.0,1.0,Dense clusters of athletic facilities and retail shops contrast with nearby museums and galleries. This setting is a short walk from the Flatiron Building and rapid transit.
276.7,Entire home/apt,4.82,2.0,1.0,11.0,True,1.0,1.0,"This location pairs dense concentrations of major museums and cultural attractions with top-tier fitness facilities citywide. Located about 10 minutes from the Woolworth Building, the neighborhood provides immediate access to hotels and a short walk to daily grocery markets."
