price,room_type,ratings,guests,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings_summary
284.1,Entire home/apt,4.91,3.0,1.0,11.0,False,1.0,1.0,"High concentrations of cafes, shops, and dining distinguish this location from the rest of the city. Sports facilities and rapid transit are located steps away."
323.33,Private room,4.74,1.0,1.0,43.0,False,2.0,1.0,"High concentrations of retail, dining, and hospitality distinguish this location from most other city blocks. Grocery stores and sports facilities are situated within immediate walking distance."
690.98,Private room,4.0,8.0,2.0,1.0,False,2.0,2.0,"High concentrations of hotels, retail shops, and athletic facilities define this neighborhood located near the Empire State Building. Grocery markets and cultural venues are situated within steps of the area."
588.0,Entire home/apt,4.0,2.0,1.0,5.0,False,1.0,1.0,"High concentrations of retail, dining, and entertainment venues distinguish this location near Times Square. Hotels are situated on the doorstep."
290.0,Private room,4.14,2.0,1.0,7.0,False,1.0,1.0,"High concentrations of gyms, hotels, and retail define this district. Grocery stores are located on the doorstep."
1452.0,Private room,5.0,12.0,3.0,1.0,False,3.0,3.0,High concentrations of entertainment venues and hotels distinguish this location near Rockefeller Center and Times Square. Cultural institutions and public parks are accessible within a short walk.
1199.0,Entire home/apt,5.0,5.0,1.0,21.0,True,2.0,1.0,"High concentrations of gyms, dining, and hotels distinguish this location from the rest of the city. Cultural venues are situated on the doorstep."
312.68,Entire home/apt,4.73,4.0,1.0,15.0,False,1.0,1.0,Unmatched transit connectivity and dense concentrations of entertainment and athletic facilities define this location. Cultural venues are situated steps away.
595.92,Private room,4.46,8.0,1.0,56.0,False,1.0,1.0,"High concentrations of gyms, sports facilities, shops, and cafes define this location. Hotels and rapid transit options are situated immediately adjacent to the area."
475.05,Entire home/apt,3.0,5.0,1.0,1.0,False,1.0,1.0,High concentrations of entertainment venues and transit infrastructure define this location. Hotels are situated on the doorstep.
266.0,Private room,4.4,2.0,1.0,15.0,False,1.0,1.0,"High concentrations of cafes, museums, and galleries distinguish this neighborhood from the rest of the city. Grocery markets and sports facilities are located within steps of the area."
164.73,Entire home/apt,4.87,2.0,1.0,23.0,True,2.0,1.0,"High concentrations of cafes, grocery stores, and galleries distinguish this neighborhood from the rest of the city. Rapid transit is a short walk away, and the area is located near the New Museum and the Manhattan Bridge."
724.27,Entire home/apt,4.83,6.0,1.0,6.0,True,2.0,1.0,"High concentrations of entertainment venues, hotels, and cafes define this district adjacent to Times Square. Cultural venues and grocery markets are located within immediate reach."
325.0,Private room,4.46,2.0,1.0,61.0,False,1.0,1.0,"High concentrations of museums, galleries, cafes, and grocery stores distinguish this neighborhood from the rest of the city. Hotels are located on the doorstep of the area, which sits a short walk from the New Museum and about 10 minutes from the Manhattan Bridge."
232.42,Private room,4.86,2.0,1.0,7.0,False,1.0,1.0,High concentrations of gyms and sports facilities contrast with a significant density of retail and entertainment venues. Cultural institutions and grocery markets are located within immediate walking distance.
454.78,Entire home/apt,4.33,6.0,1.0,3.0,False,3.0,1.0,"High concentrations of entertainment venues, transit options, and athletic facilities define this location. Hotels and cultural venues are situated immediately adjacent to the area."
198.53,Private room,4.9,4.0,1.0,39.0,True,1.0,1.0,"High concentrations of grocery stores, dining, and cafes distinguish this location from the rest of the city. Cultural venues are situated on the doorstep, while the Manhattan Bridge remains a short walk away."
207.0,Hotel room,4.0,4.0,1.0,1.0,False,1.0,1.0,"High concentrations of grocery stores, dining, and cultural institutions distinguish this location from the rest of the city. Parks and open space are accessible within a short walk."
155.03,Entire home/apt,5.0,3.0,1.0,1.0,False,1.0,1.0,"Concentrations of museums and galleries distinguish this location from the rest of the city, complemented by an extensive presence of grocery stores and nightlife venues. Sports facilities are located steps away."
336.65,Entire home/apt,4.98,3.0,1.5,47.0,False,1.0,1.5,"High concentrations of entertainment venues and transit options define this neighborhood. Hotels and cultural venues are located immediately adjacent to the area, which sits a short walk from Times Square and Rockefeller Center."
615.0,Hotel room,5.0,2.0,1.0,2.0,False,1.0,1.0,"Concentrated nightlife and museum density define this location, which sits a couple minutes from the New Museum. Hotels and sports facilities are situated immediately adjacent to the block."
285.17,Entire home/apt,4.83,4.0,1.0,6.0,False,1.0,1.0,"High concentrations of gyms, grocery stores, and hotels define this neighborhood. Cultural venues are located steps away."
214.9,Entire home/apt,4.81,2.0,1.0,16.0,False,2.0,1.0,"High concentrations of dining, museums, and green space distinguish this neighborhood from the rest of the city. Residents enjoy short walking access to Washington Square Park and local sports facilities."
318.27,Private room,4.75,4.0,1.0,129.0,False,2.0,1.0,High concentrations of grocery stores and transit hubs distinguish this location from the rest of the city. Proximity to public parks provides immediate access to open space.
154.22,Entire home/apt,4.33,1.0,1.0,6.0,False,1.0,1.0,"High concentrations of gyms, hotels, and retail shops distinguish this location from most other city blocks. Parks and cultural venues are situated steps away."
289.35,Private room,3.68,2.0,1.0,31.0,False,1.0,1.0,Concentrated entertainment venues and extensive dining options define this location. Hotels are situated on the doorstep.
245.8,Entire home/apt,5.0,3.0,2.0,2.0,False,1.0,2.0,"High concentrations of grocery stores, transit options, and cultural institutions distinguish this location from the rest of the city. Parks and open space are accessible within a short walk."
397.7,Entire home/apt,4.62,4.0,1.0,81.0,False,1.0,1.0,"High concentrations of fitness facilities and grocery stores contrast with the dense presence of hotels in this neighborhood. Cultural venues are located on the doorstep, and Madison Square Park is a short walk away."
547.36,Entire home/apt,4.83,4.0,1.0,46.0,True,1.0,1.0,High concentrations of grocery stores and museums define this neighborhood. Rapid transit is located a short walk away.
116.15,Entire home/apt,4.7,2.0,1.0,37.0,False,1.0,1.0,"High concentrations of dining, nightlife, and cultural institutions distinguish this location from most of the city. Washington Square Park and rapid transit options are located within a short walk."
388.43,Entire home/apt,5.0,2.0,1.0,1.0,False,2.0,1.0,"High concentrations of nightlife and dining distinguish this neighborhood from the rest of the city. Rapid transit is located steps away, and the area sits a short walk from Tompkins Square Park."
418.61,Entire home/apt,3.0,3.0,1.0,1.0,False,1.0,1.0,High concentrations of entertainment venues and dining options define this location. Proximity to numerous hotels provides immediate lodging access for visitors.
283.55,Entire home/apt,4.81,1.0,1.0,62.0,False,1.0,1.0,High concentrations of athletic facilities and retail outlets define this neighborhood. Proximity to hotels provides immediate visitor access.
276.7,Entire home/apt,4.82,2.0,1.0,11.0,True,1.0,1.0,"High concentrations of museums, galleries, and athletic facilities distinguish this neighborhood from the rest of the city. Hotels are located steps away from the area, which sits about 10 minutes from the Woolworth Building."
