price,room_type,ratings,guests,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings_summary
284.1,Entire home/apt,4.91,3.0,1.0,11.0,False,1.0,1.0,"Dense clusters of cafes, shops, and restaurants distinguish this location from almost every other block in the city. Immediate access to rapid transit and nearby sports facilities provide convenient connectivity for daily routines."
323.33,Private room,4.74,1.0,1.0,43.0,False,2.0,1.0,Retail density and hospitality options here rank among the highest in the city. Daily necessities and athletic facilities are located just steps from the front door.
690.98,Private room,4.0,8.0,2.0,1.0,False,2.0,2.0,"Concentrated hotel, retail, and fitness clusters distinguish this location from almost every other block in the city. Daily grocery markets and major cultural venues remain accessible within a short walk."
588.0,Entire home/apt,4.0,2.0,1.0,5.0,False,1.0,1.0,Retail density and entertainment options here rank among the highest concentrations found anywhere in the city. Hotels and professional sports facilities operate immediately adjacent to the residential streetscape.
290.0,Private room,4.14,2.0,1.0,7.0,False,1.0,1.0,"High concentrations of fitness facilities, hotels, and retail shops distinguish this location from most other city blocks. Daily grocery needs are met immediately outside the door, while major cultural venues remain within a short walking distance."
1452.0,Private room,5.0,12.0,3.0,1.0,False,3.0,3.0,"High concentrations of entertainment venues, hotels, and retail shops distinguish this location from the rest of the city. Public parks and major cultural institutions are accessible within a short walk."
1199.0,Entire home/apt,5.0,5.0,1.0,21.0,True,2.0,1.0,"High concentrations of fitness facilities, diverse dining options, and hospitality venues distinguish this neighborhood from most other parts of the city. Cultural institutions sit immediately adjacent to the property, while daily grocery needs are met within a short walk."
312.68,Entire home/apt,4.73,4.0,1.0,15.0,False,1.0,1.0,Unrivaled access to the city's transit network and high-density entertainment hubs defines this location. Cultural venues and hospitality establishments are situated immediately outside the front door.
595.92,Private room,4.46,8.0,1.0,56.0,False,1.0,1.0,"High concentrations of fitness centers, retail stores, and cafes distinguish this neighborhood from most other parts of the city. Frequent hotel accommodations and immediate access to rapid transit hubs provide additional convenience for residents."
475.05,Entire home/apt,3.0,5.0,1.0,1.0,False,1.0,1.0,High-density entertainment venues and transit hubs distinguish this location from the rest of the city. Frequent access to nearby parks and surrounding hotels provides a distinct urban environment.
266.0,Private room,4.4,2.0,1.0,15.0,False,1.0,1.0,"Concentrated clusters of cafes, galleries, and boutiques distinguish this neighborhood from the rest of the city. Daily necessities and athletic amenities are located within immediate walking distance."
164.73,Entire home/apt,4.87,2.0,1.0,23.0,True,2.0,1.0,"Concentrated clusters of cafes, grocery stores, and art galleries distinguish this neighborhood from the rest of the city. Nearby hotels and rapid transit stations provide convenient access to the New Museum and the Manhattan Bridge."
724.27,Entire home/apt,4.83,6.0,1.0,6.0,True,2.0,1.0,"High concentrations of entertainment venues, hotels, and cafes set this neighborhood apart from the rest of the city. Cultural institutions reside steps away, while grocery stores and markets are located on the doorstep."
325.0,Private room,4.46,2.0,1.0,61.0,False,1.0,1.0,Cultural institutions and daily conveniences are more concentrated here than in almost any other part of the city. High-density hotel accommodations and rapid transit connections are situated within immediate reach of the neighborhood.
232.42,Private room,4.86,2.0,1.0,7.0,False,1.0,1.0,"Active residents benefit from a density of fitness facilities, retail stores, and entertainment venues that far exceeds most other city locations. Cultural institutions and grocery markets are located within immediate walking distance of the property."
454.78,Entire home/apt,4.33,6.0,1.0,3.0,False,3.0,1.0,"High concentrations of entertainment, transit, and fitness facilities distinguish this location from most other city blocks. Hotels and cultural venues occupy the immediate surroundings."
198.53,Private room,4.9,4.0,1.0,39.0,True,1.0,1.0,"Unrivaled concentrations of grocery stores, restaurants, and cafes distinguish this location from almost every other block in the city. Cultural venues sit on the doorstep, while the Manhattan Bridge and local parks are within a short walk."
207.0,Hotel room,4.0,4.0,1.0,1.0,False,1.0,1.0,"Unrivaled access to grocery stores, dining, and cultural institutions distinguishes this location from almost every other block in the city. Public parks and boutique hotels are situated within a short walking distance."
155.03,Entire home/apt,5.0,3.0,1.0,1.0,False,1.0,1.0,"Cultural institutions and nightlife venues are more concentrated here than almost anywhere else in the city. Public sports facilities are located steps away, while hotels are within a short walk."
336.65,Entire home/apt,4.98,3.0,1.5,47.0,False,1.0,1.5,High-density nightlife and entertainment venues define this location far beyond typical city standards. Proximity to major hotels and cultural institutions provides immediate access to the surrounding commercial core.
615.0,Hotel room,5.0,2.0,1.0,2.0,False,1.0,1.0,High-density nightlife and a concentration of cultural institutions define this neighborhood's vibrant atmosphere. Professional sports facilities and boutique lodging options are located immediately outside the front door.
285.17,Entire home/apt,4.83,4.0,1.0,6.0,False,1.0,1.0,"High concentrations of fitness facilities, grocery options, and hotels distinguish this neighborhood from most other parts of the city. Cultural venues sit steps away, while public parks and open spaces remain within a short walk."
214.9,Entire home/apt,4.81,2.0,1.0,16.0,False,2.0,1.0,"Concentrated clusters of high-end dining, art galleries, and expansive public parks distinguish this neighborhood from the rest of the city. Residents enjoy convenient access to rapid transit lines and local sports facilities within a short walking distance."
318.27,Private room,4.75,4.0,1.0,129.0,False,2.0,1.0,"Residents enjoy unparalleled access to grocery stores, transit hubs, and cultural institutions compared to almost any other location in the city. Public parks and boutique hotels are situated within immediate walking distance of the neighborhood."
154.22,Entire home/apt,4.33,1.0,1.0,6.0,False,1.0,1.0,"High concentrations of fitness facilities, lodging, and retail distinguish this neighborhood from most other parts of the city. Public parks and various cultural institutions are located just steps from the front door."
