price,room_type,ratings,guests,beds,bedrooms,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,num_rooms,surroundings_summary
6081.33,Entire home/apt,4.98,8.0,4.0,4.0,3.5,50.0,True,4.0,3.5,7.5,"This area contains a high concentration of cafes, entertainment venues, hotels, landmarks, parks, and shops, as well as an increased number of bars, restaurants, grocery stores, gyms, museums, and transit options. Nearby locations include Intrepid Sea, Air & Space Museum, Central Park, Empire State Building, Bryant Park, Times Square, and Rockefeller Center."
350.0,Hotel room,5.0,4.0,2.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"This area contains more cafes, entertainment venues, hotels, shops, bars, nightlife, dining, grocery stores, gyms, sports facilities, landmarks, museums, galleries, parks, transit options, and pharmacies than a typical New York block. It is located near Central Park, Intrepid Sea, Air & Space Museum, Bryant Park, Empire State Building, and Times Square."
308.0,Hotel room,5.0,2.0,1.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"This area contains more cafes, entertainment venues, hotels, shops, bars, nightlife, dining, grocery stores, gyms, sports, landmarks, museums, galleries, parks, transit, and pharmacies than a typical New York block. Nearby locations include Central Park, Intrepid Sea, Air & Space Museum, Bryant Park, Empire State Building, and Times Square."
296.0,Entire home/apt,4.91,4.0,2.0,1.0,1.0,11.0,True,1.0,1.0,2.0,"This area features an unusually high number of cafes, parks, shops, bars, nightlife, dining, entertainment venues, grocery stores, gyms, hotels, landmarks, museums, and transit options. Nearby locations include Intrepid Sea, Air & Space Museum, Central Park, One Vanderbilt, and Summit One Vanderbilt."
595.0,Entire home/apt,4.8,3.0,1.0,1.0,1.0,59.0,False,1.0,1.0,2.0,"This area contains an unusually high number of cafes, entertainment venues, hotels, landmarks, sights, shops, parks, and green spaces. It is located near Bryant Park, Empire State Building, Times Square, Central Park, and Intrepid Sea, Air & Space Museum."
411.0,Private room,4.79,2.0,1.0,1.0,1.0,39.0,False,1.0,1.0,2.0,"This area contains an unusually high number of cafes, hotels, parks, shops, bars, restaurants, entertainment venues, grocery stores, gyms, landmarks, museums, and transit options. Nearby locations include Central Park, Intrepid Sea, Air & Space Museum, Bryant Park, One Vanderbilt, and Summit One Vanderbilt."
283.53,Entire home/apt,4.16,2.0,1.0,1.0,1.0,45.0,False,1.0,1.0,2.0,"This area contains more bars, nightlife, cafes, dining, entertainment venues, grocery stores, gyms, sports, hotels, shops, and subway transit than a typical New York block. It also features more landmarks, sights, museums, galleries, and pharmacies than average, including the Empire State Building."
367.05,Entire home/apt,4.08,6.0,3.0,1.0,1.0,60.0,False,1.0,1.0,2.0,"This area has an unusually high concentration of bars, nightlife, cafes, dining, entertainment venues, grocery stores, gyms, hotels, landmarks, shops, transit, museums, galleries, and pharmacies. The Empire State Building is located in this area."
278.0,Entire home/apt,4.71,4.0,2.0,2.0,1.0,41.0,False,2.0,1.0,3.0,"This is a commercial and tourist area with an unusually high concentration of cafes, gyms, sports facilities, hotels, and shops. It is located near Central Park, Bryant Park, Intrepid Sea, Air & Space Museum, One Vanderbilt, Summit One Vanderbilt, and Times Square."
765.0,Private room,5.0,2.0,1.0,1.0,1.0,1.0,False,1.0,1.0,2.0,"This is a commercial and tourist area that features an unusually high number of cafes, entertainment venues, hotels, landmarks, parks, and shops. It is located near the Empire State Building, Bryant Park, Times Square, Intrepid Sea, Air & Space Museum, and Central Park."
