neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,surroundings_summary
Centrum-Oost,Private room,55,2,520,5.57,2,267,41,"You can visit the Kattenkabinet museum before enjoying a meal at Secret Garden. Later, you might head to Club NYX or BLEND XL for a night out.

[tier: premium | anchors: Kattenkabinet, Club NYX | character: vibrant city nightlife]"
Zuid,Entire home/apt,149,4,95,0.87,1,0,0,"Montessori Lyceum Amsterdam is located in the immediate vicinity of this area. There are no other gardens or schools from the provided list nearby.

[tier: mid | anchors: Montessori Lyceum Amsterdam | character: academic and quiet]"
Slotervaart,Private room,42,2,205,1.89,1,355,10,"There are no nearby places to list in this area.
[tier: budget | anchors: none | character: quiet and empty]"
Zuid,Entire home/apt,99,7,54,0.71,1,0,1,"Rosarium is a beautiful garden located within the expansive grounds of Vondelpark.

[tier: premium | anchors: Rosarium, Vondelpark | character: peaceful green oasis]"
Centrum-West,Entire home/apt,157,6,24,0.26,1,156,2,"Svaha Yoga - Jordaan Shala is located near a Sense of Place - Hi-Fidelity Coffee.

[tier: premium | anchors: Svaha Yoga - Jordaan Shala, a Sense of Place - Hi-Fidelity Coffee | character: wellness and coffee]"
De Pijp - Rivierenbuurt,Entire home/apt,250,21,29,0.23,2,47,2,"There are no nearby places listed to identify.
[tier: budget | anchors: none | character: empty location]"
Centrum-West,Private room,265,2,12,0.45,1,343,2,"Lanskroon is a popular pastry shop located near the cafe Eetcafe Singel 404. You can also visit Amsterdam Vintage Watches or The Lebanese Sajeria in this area.

[tier: premium | anchors: Lanskroon, Eetcafe Singel 404 | character: historic city center]"
De Pijp - Rivierenbuurt,Entire home/apt,145,18,92,0.81,1,90,2,"You can find MAX Hotel and Coffeeshop IBIZA located just a short distance from Lidl. Paul & Ninette Bike Rental and Paul & Ninette Vinotheque are also situated in the immediate vicinity.

[tier: mid | anchors: MAX Hotel, Coffeeshop IBIZA, Lidl | character: convenient urban hub]"
Centrum-Oost,Entire home/apt,707,2,99,0.88,2,281,0,"There are no nearby places listed to identify in this area.

[tier: budget | anchors: none | character: quiet empty space]"
De Pijp - Rivierenbuurt,Entire home/apt,200,3,27,0.26,1,363,0,"You can find Albert Heijn and Gall & Gall located right next to each other. Nearby establishments include the pub Café De Baron and the boxing fitness centre Boksschool VBSK Albert Cuyp.

[tier: mid | anchors: Albert Heijn, Gall & Gall, Café De Baron | character: vibrant local hub]"
Centrum-Oost,Private room,120,2,421,3.77,1,119,5,"You can enjoy a meal at Blin Queen or Pizza Beppe before visiting the nearby Mulligans. Accommodations are available at Amsterdam House Hotel and Hotel Amstelzicht, both of which are located near the Dancing Houses viewpoint.

[tier: premium | anchors: Amsterdam House Hotel, Hotel Amstelzicht, Dancing Houses | character: historic city charm]"
De Baarsjes - Oud-West,Entire home/apt,119,5,71,0.61,1,14,3,"Keu Poolcafe and Leonardo Hotel Amsterdam are located in close proximity to each other.

[tier: mid | anchors: Keu Poolcafe, Leonardo Hotel Amsterdam | character: lively urban hub]"
De Pijp - Rivierenbuurt,Entire home/apt,113,3,126,1.21,1,3,3,"Arrahman is a local place of worship located near the French restaurant Le Hollandais.

[tier: mid | anchors: Arrahman, Le Hollandais | character: diverse local dining]"
De Baarsjes - Oud-West,Private room,70,2,411,3.56,1,283,13,"There are no picnic tables or gardens located in the immediate vicinity.

[tier: budget | anchors: none | character: isolated quiet space]"
Centrum-West,Entire home/apt,171,3,35,0.65,1,0,4,"Dam is a central location near Dam Square Inn and the attraction 360 Amsterdam. You can also find shopping options like H&M and Foot Locker nearby.

[tier: mid | anchors: Dam, 360 Amsterdam, H&M, Foot Locker | character: bustling city center]"
Centrum-Oost,Entire home/apt,299,3,60,0.66,1,165,0,"You can visit the religious site Keizersgrachtkerk or browse the contemporary art at Slewe Gallery. Nearby, you will find the community hub Wijkcentrum d'Oude Stadt alongside specialized retailers like Azarius and House of Smart.

[tier: mid | anchors: Keizersgrachtkerk, Slewe Gallery, Wijkcentrum d'Oude Stadt, Azarius, House of Smart | character: diverse urban hub]"
Centrum-West,Entire home/apt,600,2,62,0.54,1,362,0,"Theo Thijssenschool is located in the immediate vicinity of a local playground and a table tennis pitch.

[tier: mid | anchors: Theo Thijssenschool | character: educational community hub]"
Oud-Noord,Entire home/apt,170,4,20,0.26,1,0,0,"Bike Laboratory is located nearby, along with Domino's and Isken. These establishments provide convenient access to professional services and quick meals.

[tier: mid | anchors: Bike Laboratory, Domino's, Isken | character: convenient local hub]"
Westerpark,Entire home/apt,250,26,1,0.01,3,299,0,"The artwork Gevallen Engel is located in this area. You can find Gevallen Engel nearby.

[tier: premium | anchors: Gevallen Engel | character: artistic and serene]"
De Pijp - Rivierenbuurt,Private room,65,1,464,5.18,1,154,31,"The Royal Treatment is located near a playground, a garden, and a soccer pitch.

[tier: premium | anchors: The Royal Treatment | character: professional shoe care]"
Centrum-Oost,Entire home/apt,120,14,84,0.84,1,33,2,"There are no nearby places to list based on the provided information.

[tier: budget | anchors: none | character: empty location data]"
Centrum-West,Private room,125,2,445,4.02,2,349,24,"Oude Kerk is a historic place of worship located near the Red Light Secrets museum. Visitors can also find refreshments at Cafe Pleinzicht or enjoy a meal at American Bar-bq.

[tier: mid | anchors: Oude Kerk, Red Light Secrets, Cafe Pleinzicht, American Bar-bq | character: historic urban center]"
Westerpark,Private room,81,3,362,3.33,1,337,8,"There are no nearby places to list based on the provided information.
[tier: budget | anchors: none | character: quiet and empty]"
Centrum-Oost,Entire home/apt,843,2,113,1.34,2,256,0,"Werf 't Kromhout is a historic shipyard museum located along the canal. It serves as a unique cultural landmark in the area.

[tier: mid | anchors: Werf 't Kromhout | character: historic maritime site]"
Westerpark,Entire home/apt,250,3,64,0.64,1,99,3,"The local area features the Apentafel, which serves as a notable piece of artwork.

[tier: mid | anchors: Apentafel | character: artistic public space]"
Centrum-Oost,Private room,118,3,414,3.88,2,219,5,"You can visit the historic Zuiderkerk and climb the iconic Zuiderkerkstoren for a view of the city.

[tier: premium | anchors: Zuiderkerk, Zuiderkerkstoren | character: historic city landmark]"
De Baarsjes - Oud-West,Entire home/apt,110,3,2,0.04,1,0,0,"Gurdwara Maan Sarovar Sahib is a local place of worship located near the NJMT - Nationaal Jeugd Musical Theater college.

[tier: mid | anchors: Gurdwara Maan Sarovar Sahib, NJMT - Nationaal Jeugd Musical Theater | character: spiritual and artistic]"
Centrum-West,Entire home/apt,399,2,52,0.48,1,103,4,"Postzegelpark and Postzegelmarkt are located in the immediate vicinity of Nova Hotel and Theater De Richel. These spots offer a mix of green space and cultural experiences for visitors.

[tier: mid | anchors: Postzegelpark, Nova Hotel | character: cultural and central]"
Centrum-Oost,Private room,77,1,901,8.2,1,301,154,"Sarphatihuis is a social facility located in the area. There is also a garden nearby.

[tier: premium | anchors: Sarphatihuis | character: quiet urban space]"
De Pijp - Rivierenbuurt,Entire home/apt,180,1,92,0.88,1,0,0,"De Avonturijn is a local school located near a nearby garden.

[tier: mid | anchors: De Avonturijn | character: educational community hub]"
Centrum-Oost,Private room,132,2,44,0.63,2,236,0,"Medisch Centrum Wetering is located in the immediate vicinity of this area. There are no other gardens or clinics nearby.

[tier: mid | anchors: Medisch Centrum Wetering | character: medical care hub]"
